semente,alpha,modelo,fold,rmspe
7,1.25,xgboost,1,0.22679184979168213
7,1.25,xgboost,2,0.21332649585685592
7,1.25,xgboost,3,0.21569691498584864
7,1.25,xgboost,4,0.21400997008855094
7,1.25,xgboost,5,0.20457423603237992
7,1.25,lightgbm,1,0.22085190883554257
7,1.25,lightgbm,2,0.21569960812648573
7,1.25,lightgbm,3,0.2179367641899454
7,1.25,lightgbm,4,0.22166457508084686
7,1.25,lightgbm,5,0.2056595717721932
7,1.25,blend_50,1,0.2226304479844934
7,1.25,blend_50,2,0.21365796308413615
7,1.25,blend_50,3,0.21587675277510968
7,1.25,blend_50,4,0.21668424697665906
7,1.25,blend_50,5,0.20417778752149768
7,1.5,xgboost,1,0.21887175262910688
7,1.5,xgboost,2,0.21358219349364727
7,1.5,xgboost,3,0.21593447585622888
7,1.5,xgboost,4,0.21526756454340687
7,1.5,xgboost,5,0.2056593994447874
7,1.5,lightgbm,1,0.21724625266302822
7,1.5,lightgbm,2,0.21628264380100115
7,1.5,lightgbm,3,0.21625696151805876
7,1.5,lightgbm,4,0.2179326588227685
7,1.5,lightgbm,5,0.20478848471780786
7,1.5,blend_50,1,0.2170512212324635
7,1.5,blend_50,2,0.21385330592089916
7,1.5,blend_50,3,0.2150913917049187
7,1.5,blend_50,4,0.21548123524781412
7,1.5,blend_50,5,0.20430102751548776
7,1.75,xgboost,1,0.21824851156613687
7,1.75,xgboost,2,0.21499827603019067
7,1.75,xgboost,3,0.21824253901858337
7,1.75,xgboost,4,0.21064422219043324
7,1.75,xgboost,5,0.20735175100947198
7,1.75,lightgbm,1,0.21730149184880107
7,1.75,lightgbm,2,0.2176998917139737
7,1.75,lightgbm,3,0.2172451573113149
7,1.75,lightgbm,4,0.2148630476590769
7,1.75,lightgbm,5,0.2069939252311483
7,1.75,blend_50,1,0.2165222916449109
7,1.75,blend_50,2,0.21522599980445717
7,1.75,blend_50,3,0.21663629366381357
7,1.75,blend_50,4,0.21145995515555527
7,1.75,blend_50,5,0.2061523906772353
42,1.25,xgboost,1,0.21490899183250387
42,1.25,xgboost,2,0.22430793044408598
42,1.25,xgboost,3,0.21212307042011017
42,1.25,xgboost,4,0.2045019929050864
42,1.25,xgboost,5,0.22378087004777208
42,1.25,lightgbm,1,0.2167660680172979
42,1.25,lightgbm,2,0.22089572667898827
42,1.25,lightgbm,3,0.21444120344530362
42,1.25,lightgbm,4,0.20782836176292613
42,1.25,lightgbm,5,0.22483721550292968
42,1.25,blend_50,1,0.21488143337571852
42,1.25,blend_50,2,0.22149471301055287
42,1.25,blend_50,3,0.2121706581123599
42,1.25,blend_50,4,0.20514902610178185
42,1.25,blend_50,5,0.22341299273285917
42,1.5,xgboost,1,0.2153262329253055
42,1.5,xgboost,2,0.22293121440933325
42,1.5,xgboost,3,0.2114921107269358
42,1.5,xgboost,4,0.20434124626227004
42,1.5,xgboost,5,0.2230772123766344
42,1.5,lightgbm,1,0.21653136655823493
42,1.5,lightgbm,2,0.2254370362354532
42,1.5,lightgbm,3,0.2143243380458
42,1.5,lightgbm,4,0.20713136070867338
42,1.5,lightgbm,5,0.22414464531316322
42,1.5,blend_50,1,0.21478079697566513
42,1.5,blend_50,2,0.22323517644677465
42,1.5,blend_50,3,0.2117972837558616
42,1.5,blend_50,4,0.20453273912530062
42,1.5,blend_50,5,0.22258985258582636
42,1.75,xgboost,1,0.21615559175533086
42,1.75,xgboost,2,0.22262844468146434
42,1.75,xgboost,3,0.2139173407101176
42,1.75,xgboost,4,0.20519075980349394
42,1.75,xgboost,5,0.22312601147103062
42,1.75,lightgbm,1,0.21494856660003794
42,1.75,lightgbm,2,0.22499912145999873
42,1.75,lightgbm,3,0.21329095234025122
42,1.75,lightgbm,4,0.20557311600734957
42,1.75,lightgbm,5,0.22260680483073636
42,1.75,blend_50,1,0.21458048890652837
42,1.75,blend_50,2,0.22258860029018782
42,1.75,blend_50,3,0.21241166252844454
42,1.75,blend_50,4,0.2043224972704739
42,1.75,blend_50,5,0.2218589755688511
2026,1.25,xgboost,1,0.2157634862177699
2026,1.25,xgboost,2,0.21389246488468439
2026,1.25,xgboost,3,0.21494766846745475
2026,1.25,xgboost,4,0.22684661285956453
2026,1.25,xgboost,5,0.21843776229822254
2026,1.25,lightgbm,1,0.22020294499947465
2026,1.25,lightgbm,2,0.21411049209632022
2026,1.25,lightgbm,3,0.2132697461997486
2026,1.25,lightgbm,4,0.22670674905089902
2026,1.25,lightgbm,5,0.221738957096533
2026,1.25,blend_50,1,0.216723463415438
2026,1.25,blend_50,2,0.21315009829063525
2026,1.25,blend_50,3,0.2130334278618089
2026,1.25,blend_50,4,0.22551929957328085
2026,1.25,blend_50,5,0.21904043957586325
2026,1.5,xgboost,1,0.21528382209456315
2026,1.5,xgboost,2,0.2151357783804963
2026,1.5,xgboost,3,0.2129680434173159
2026,1.5,xgboost,4,0.22409973972416083
2026,1.5,xgboost,5,0.21831639802161634
2026,1.5,lightgbm,1,0.21753577354304865
2026,1.5,lightgbm,2,0.21516739091479561
2026,1.5,lightgbm,3,0.21417604213273275
2026,1.5,lightgbm,4,0.22510262767036762
2026,1.5,lightgbm,5,0.21987651825473598
2026,1.5,blend_50,1,0.21531542936105097
2026,1.5,blend_50,2,0.21409507475441775
2026,1.5,blend_50,3,0.2124347266207321
2026,1.5,blend_50,4,0.2235392417380206
2026,1.5,blend_50,5,0.2181082813281695
2026,1.75,xgboost,1,0.2164114267297647
2026,1.75,xgboost,2,0.21823990329673684
2026,1.75,xgboost,3,0.2123805452975562
2026,1.75,xgboost,4,0.22300339531372088
2026,1.75,xgboost,5,0.21758935805424137
2026,1.75,lightgbm,1,0.21951329820336035
2026,1.75,lightgbm,2,0.2176352532910234
2026,1.75,lightgbm,3,0.21080607342498242
2026,1.75,lightgbm,4,0.2246144319941143
2026,1.75,lightgbm,5,0.21868922540746522
2026,1.75,blend_50,1,0.21668321192092185
2026,1.75,blend_50,2,0.21701306175383503
2026,1.75,blend_50,3,0.21031551372101184
2026,1.75,blend_50,4,0.2224945012624718
2026,1.75,blend_50,5,0.21719761755264633
