Id,preco,area_util,area_extra,quartos,bairro,previsao_modelo_limpo,erro_percentual,erro_percentual_abs,erro_percentual_quadrado
3586,290000.0,388,0,1,Boa Viagem,1414898.1388067915,-3.878959099333764,3.878959099333764,15.046323694304204
3536,470000.0,775,0,3,Parnamirim,1672544.8323927948,-2.5586060263676487,2.5586060263676487,6.546464798164849
2865,350000.0,618,0,2,Espinheiro,1235975.5838686964,-2.531358811053418,2.531358811053418,6.407777430297775
3553,339190.0,561,0,2,Casa Amarela,1111028.0475277347,-2.2755330272936543,2.2755330272936543,5.178050558304222
4220,371274.0,577,0,2,Sto Amaro,1166921.6259522394,-2.1430200497536576,2.1430200497536576,4.592534933646169
2705,520000.0,775,0,3,Parnamirim,1611113.1901029588,-2.098294596351844,2.098294596351844,4.402840213079348
4820,285000.0,716,0,3,Iputinga,862764.2856598041,-2.02724310757826,2.02724310757826,4.109714617223561
4708,550000.0,931,0,3,Espinheiro,1655402.2994601391,-2.0098223626547984,2.0098223626547984,4.039385929427316
3604,850000.0,1304,0,4,Boa Viagem,2513427.545576856,-1.9569735830315953,1.9569735830315953,3.82974560468352
3937,235000.0,569,0,2,Iputinga,676698.0375679253,-1.8795661173103204,1.8795661173103204,3.5327687893409934
2101,850000.0,1304,0,4,Boa Viagem,2436342.978034392,-1.8662858565110494,1.8662858565110494,3.4830228982131812
3984,240000.0,569,0,2,Iputinga,676698.0375679253,-1.819575156533022,1.819575156533022,3.3108537502721718
6361,880000.0,1304,0,4,Boa Viagem,2436342.978034392,-1.7685715659481727,1.7685715659481727,3.1278453838803717
3998,279000.0,556,0,2,Varzea,765315.0397896129,-1.743064658744132,1.743064658744132,3.0382744045627974
5540,558000.0,685,0,3,Rosarinho,1508173.4371784055,-1.7028197798896156,1.7028197798896156,2.899595202783319
5575,680000.0,2045,0,4,Tamarineira,1748187.679424944,-1.5708642344484471,1.5708642344484471,2.467614443069306
4075,905000.0,1304,0,4,Boa Viagem,2241807.991785022,-1.4771359025248862,1.4771359025248862,2.18193047452801
4280,900000.0,1019,0,2,Boa Viagem,2106752.750215548,-1.3408363891283868,1.3408363891283868,1.7978422224108506
3724,370000.0,682,0,3,Varzea,826414.9869824455,-1.2335540188714742,1.2335540188714742,1.5216555174739654
6606,680000.0,1705,0,2,Boa Viagem,1503688.997980679,-1.2113073499715867,1.2113073499715867,1.467265496095188
2749,6500000.0,110,40,4,Jaqueira,581527.4628086372,0.910534236490979,0.910534236490979,0.82907259582221
4316,3327000.0,64,0,1,Barro,305750.76743627264,0.9081001600732574,0.9081001600732574,0.8246459007250758
4808,644379.0,848,0,3,Encruzilhada,1127963.8766186005,-0.7504665369582194,0.7504665369582194,0.5632000230940625
