modo_bairro,n_estimators,learning_rate,grow_policy,max_depth,max_leaves,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_cat_threshold,rmspe_bloco_corr_00,rmspe_bloco_corr_15,rmspe_bloco_corr_30,rmspe_bloco_corr_45
nativo,800,0.03,depthwise,2,0,1,0.8,0.8,0.05,1.0,0.0,64,0.23278276384091995,0.22992960246803976,0.22841011925367538,0.22825096024265076
nativo,800,0.03,depthwise,2,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2339856412695875,0.23116600225864645,0.22967417831524178,0.22953606159689913
nativo,800,0.03,depthwise,2,0,12,0.8,0.8,0.05,1.0,0.0,64,0.2331861312744928,0.23025359310295213,0.22866855460754967,0.22845907321895892
nativo,800,0.03,depthwise,3,0,1,0.8,0.8,0.05,1.0,0.0,64,0.225362420129492,0.2234565493980384,0.22272803984123313,0.22318842874807207
nativo,800,0.03,depthwise,3,0,5,0.8,0.8,0.05,1.0,0.0,64,0.22805307027154645,0.22617642145129355,0.22547527831148503,0.22596059588482006
nativo,800,0.03,depthwise,3,0,12,0.8,0.8,0.05,1.0,0.0,64,0.22577325706065265,0.2237405371205619,0.2229329565464555,0.22336381169655564
nativo,800,0.03,depthwise,4,0,1,0.8,0.8,0.05,1.0,0.0,64,0.21996012551024866,0.21874493637728545,0.2185478169194258,0.21937152224886325
nativo,800,0.03,depthwise,4,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2214910026641567,0.22026489945830144,0.2200758622278677,0.22092656008815262
nativo,800,0.03,depthwise,4,0,12,0.8,0.8,0.05,1.0,0.0,64,0.22010818195054233,0.21873894689900447,0.21845296178848725,0.21925447782291382
nativo,800,0.03,depthwise,5,0,1,0.8,0.8,0.05,1.0,0.0,64,0.21985317387230116,0.21923960209688895,0.21947069210076955,0.22054379292750365
nativo,800,0.03,depthwise,5,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2213849786441372,0.22064337809510023,0.2207947319568018,0.22183722369571654
nativo,800,0.03,depthwise,5,0,12,0.8,0.8,0.05,1.0,0.0,64,0.2203702082361282,0.21940537535400315,0.21939042808651923,0.2203255693459509
nativo,800,0.03,depthwise,6,0,1,0.8,0.8,0.05,1.0,0.0,64,0.2231303940805162,0.22284371205991024,0.22324296254658355,0.22432449599556267
nativo,800,0.03,depthwise,6,0,5,0.8,0.8,0.05,1.0,0.0,64,0.22389233500399922,0.22351588643898232,0.22387701155865328,0.22497216553893787
nativo,800,0.03,depthwise,6,0,12,0.8,0.8,0.05,1.0,0.0,64,0.2234843664780052,0.22285071944015608,0.2230378664080311,0.2240437586689983
nativo,800,0.03,lossguide,0,8,1,0.8,0.8,0.05,1.0,0.0,64,0.22353242340865473,0.22179732794536605,0.22122281289251025,0.22181790365603227
nativo,800,0.03,lossguide,0,8,5,0.8,0.8,0.05,1.0,0.0,64,0.22640232146115802,0.22464453996494507,0.22403688860724627,0.22458871069035782
nativo,800,0.03,lossguide,0,16,1,0.8,0.8,0.05,1.0,0.0,64,0.21985917420683138,0.21898333312966173,0.21905868944876483,0.22008427378613898
nativo,800,0.03,lossguide,0,16,5,0.8,0.8,0.05,1.0,0.0,64,0.22082285333882776,0.21992126346128604,0.21996040185912138,0.22093978126775837
nativo,800,0.03,lossguide,0,32,1,0.8,0.8,0.05,1.0,0.0,64,0.22029773349411894,0.21994192385267347,0.2203162416859424,0.22141699312410276
nativo,800,0.03,lossguide,0,32,5,0.8,0.8,0.05,1.0,0.0,64,0.22462722689075457,0.224202556151474,0.22450482489742316,0.2255311196092636
nativo,800,0.03,lossguide,0,64,1,0.8,0.8,0.05,1.0,0.0,64,0.22660717494310065,0.22622130791695214,0.2264528610799293,0.22729995584882
nativo,800,0.03,lossguide,0,64,5,0.8,0.8,0.05,1.0,0.0,64,0.22790487693879577,0.22738608606436023,0.22748527616849404,0.22820165472807913
onehot,800,0.03,depthwise,2,0,1,0.8,0.8,0.05,1.0,0.0,64,0.23663957255745247,0.23335386049143064,0.23147317769358028,0.23103185067590648
onehot,800,0.03,depthwise,2,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2366532547476626,0.23341419680419426,0.2315704702587935,0.23115547094491837
onehot,800,0.03,depthwise,2,0,12,0.8,0.8,0.05,1.0,0.0,64,0.2354023606939284,0.23218550240689248,0.23035704495093157,0.22995011994711395
onehot,800,0.03,depthwise,3,0,1,0.8,0.8,0.05,1.0,0.0,64,0.23007877431066287,0.22779134743995355,0.2267589482694107,0.226998710013743
onehot,800,0.03,depthwise,3,0,5,0.8,0.8,0.05,1.0,0.0,64,0.22949244466963295,0.22715299008853632,0.22608195711150286,0.22629736181505486
onehot,800,0.03,depthwise,3,0,12,0.8,0.8,0.05,1.0,0.0,64,0.23092253807837587,0.22859197196500633,0.22752756490149914,0.22774707560425275
onehot,800,0.03,depthwise,4,0,1,0.8,0.8,0.05,1.0,0.0,64,0.22759701206759952,0.2259830422698384,0.2254700264586706,0.2260654698046454
onehot,800,0.03,depthwise,4,0,5,0.8,0.8,0.05,1.0,0.0,64,0.2294868955311132,0.2277085804658551,0.22706640182800936,0.22756998699595515
onehot,800,0.03,depthwise,4,0,12,0.8,0.8,0.05,1.0,0.0,64,0.2276716114506638,0.22584105275409969,0.22516448417673535,0.22565229076294055
onehot,800,0.03,depthwise,5,0,1,0.8,0.8,0.05,1.0,0.0,64,0.22931179367266075,0.22827064782726067,0.2281791819328458,0.22903853759545117
onehot,800,0.03,depthwise,5,0,5,0.8,0.8,0.05,1.0,0.0,64,0.22914002205755707,0.22794569889768793,0.22773254833762271,0.22850332350453834
onehot,800,0.03,depthwise,5,0,12,0.8,0.8,0.05,1.0,0.0,64,0.22827829594925006,0.2268788960371818,0.22651542627077192,0.22719286569377664
onehot,800,0.03,depthwise,6,0,1,0.8,0.8,0.05,1.0,0.0,64,0.2307119944771203,0.2300073092692499,0.23011858627828294,0.231044653261439
