Id,preco,fold_busca,log_a200_d6_rs0_bruto,log_a200_d6_rs0_calibrado_cf,log_a200_d6_bt0_bruto,log_a200_d6_bt0_calibrado_cf,log_a200_d6_rs0_bt0_bruto,log_a200_d6_rs0_bt0_calibrado_cf
2000,1000000.0,2,1120085.3516103558,1026079.8470264171,1061472.6470501667,973696.9710326432,1109175.4136376015,1015878.9737301149
2001,680000.0,4,984225.9078285081,894718.6944893403,984048.1811440937,896758.8426305365,1016729.6359132368,925717.5124799893
2002,450000.0,4,316805.8466410539,287994.9727584927,295947.453337038,269695.6315954162,313753.47912740055,285667.9691144018
2003,1080000.0,5,946220.4477818438,867056.8526382516,958600.3958617009,879339.1520484356,970588.2662920577,890087.7421686044
2004,350000.0,5,350830.40561539057,321478.89851225703,356032.0035029853,326593.73125023034,355725.72561860376,326221.8583753988
2005,490000.0,5,357722.9082781131,327794.7540610887,329823.64061030303,302552.3896212062,337460.07039440103,309471.155340577
2006,680000.0,2,593938.5664805433,544091.0307069593,581515.5161465916,533428.6269683406,582791.0289886742,533770.5336313643
2007,390000.0,2,413762.68851588765,379036.7899439422,419754.5821667627,385044.08603336645,416460.09264939214,381430.2465763479
2008,1350000.0,1,1143532.325605105,1049372.1550123717,1101442.6344825986,1013288.5624792171,1116846.0034900985,1025861.1390582827
2009,400000.0,5,329351.91731291224,301797.3639283965,339199.90047007595,311153.37959583174,327818.8926113748,300629.61618049233
2010,980000.0,4,797664.142488132,725123.1800863073,791844.9424709948,721604.8642329174,791099.0234913833,720284.128920863
2011,1200000.0,4,1037930.0364362109,943538.876374802,1047210.5812590371,954318.4641106452,1020261.2814034781,928933.0242175328
2012,215000.0,1,256498.84336996893,235378.343050247,254160.43901547603,233818.68272246112,262730.79636000504,241327.19567183728
2013,750000.0,4,527545.3354806631,479569.446496873,502826.27540518827,458223.40553724667,497171.145847446,452667.08095641516
2014,580000.0,2,477094.5665935532,437053.40776364616,489402.0302990064,448932.2224587168,460593.56236868486,421851.5031010916
2015,1500000.0,4,1816081.4953406435,1650923.8902097156,1820356.2626796772,1658882.7727906157,1851333.5914883441,1685612.2478852223
2016,300000.0,5,277201.0398854109,254009.58281394973,270983.54613506276,248577.44969246004,268653.50118873845,246371.39825758003
2017,420000.0,1,385501.2454150186,353758.4934007443,367942.4256297585,338494.1165970315,381162.78649906104,350111.017188255
2018,560000.0,3,533054.9535670764,488943.4857486274,541813.0379813116,498366.3389428534,525003.4125883543,481907.2797297696
2019,489000.0,1,498406.5200082926,457366.97797026753,490087.3271638759,450863.1386549176,497786.99263416126,457234.327450951
2020,1300000.0,4,1265706.8041302338,1150601.2292403472,1264645.9143218645,1152466.3407702073,1274213.3226217958,1160152.655850163
2021,380000.0,4,403281.11545143026,366606.0304437531,397194.4758289801,361961.6043896558,409847.94018237,373160.5751217108
2022,690000.0,3,931651.9186451981,854555.6767806292,881121.6739836981,810466.622328864,938907.3564790529,861834.9504593795
2023,700000.0,1,778020.9424504568,713957.5285656863,823588.1998399596,757672.2354520983,792281.7487289871,727737.8033017355
2024,400000.0,4,368456.74182158173,334948.6458304474,365461.0576238426,333043.0779113442,357820.27230472275,325790.14193416014
2025,690000.0,2,855122.7252321135,783354.7629504306,839534.2274649524,770111.1626687262,853435.8801028386,781650.5445067483
2026,2200000.0,1,1295350.5718153412,1188689.4586238223,1340110.1001992244,1232854.2535786552,1346075.250083031,1236416.0188541007
2027,370000.0,5,383138.9930107807,351084.4541371694,393448.3725266136,360916.3523883041,397294.43630245206,364342.8630510446
2028,579000.0,4,504121.2497841809,458275.5878336699,518336.3198784705,472357.6418455114,501609.52788250014,456708.1631003774
2029,265000.0,1,242171.65135249885,222230.87355943656,232241.74078794193,213654.24971154277,239707.6694069657,220179.6684685152
2030,300000.0,2,360603.52438449534,330339.11978731473,352574.18638481165,323418.99558243144,361600.0164301009,331184.63416628196
2031,470000.0,3,482137.4391769687,442239.5074721693,535676.3708031063,492721.7565121545,490845.8879117841,450553.6553446744
2032,900000.0,2,530378.1271769461,485865.0341399992,514026.6362371746,471520.5616698106,521267.50877971126,477421.9617087579
2033,814000.0,1,571052.9710308153,524031.6110169689,557817.2608631521,513172.30030017305,562228.2376871721,516425.80850190297
2034,298500.0,5,363731.51322097366,333300.66138185764,359314.30202853476,329604.63507906924,359376.4125102209,329569.7575470402
2035,700000.0,3,553369.4636535152,507576.92552152916,560035.2705056756,515127.37397509994,547953.4142758236,502973.37685945386
2036,1100000.0,4,1479928.2940280803,1345341.0448136218,1620115.4615905927,1476404.1985979513,1728848.0063212814,1574090.908081191
2037,700000.0,4,734538.5533660556,667738.3416676709,740399.30096274,674722.6740908753,727787.1203451179,662639.5640132101
