nome,fold,quantidade_baratos,rmspe_ate_355k,duracao_segundos
log_a200_d6,1,220,0.21780587786876363,46.683064099997864
log_a200_d6,2,259,0.2136448020682581,45.988084399999934
log_a200_d6,3,216,0.2078210569706928,46.22544740000012
log_a200_d6,4,214,0.1849889137551814,47.85205229999701
log_a200_d6,5,269,0.22515239816348848,47.27848829999857
log_a250_d6,1,220,0.21435998006413254,47.59315539999807
log_a250_d6,2,259,0.20345691069847938,47.169672800002445
log_a250_d6,3,216,0.20051180196872956,46.321499500001664
log_a250_d6,4,214,0.17862236057328226,49.759094000000914
log_a250_d6,5,269,0.22017002301281044,51.23030470000231
log_a300_d6,1,220,0.2086912566805939,49.86289979999856
log_a300_d6,2,259,0.19898125793829108,49.70348499999818
log_a300_d6,3,216,0.19677159885645015,50.91837900000246
log_a300_d6,4,214,0.17940190338452025,51.06865690000268
log_a300_d6,5,269,0.21453176149758543,50.998855099998764
