Id,preco,fold_busca,log_a200_d6_bruto,log_a200_d6_calibrado_cf,log_a250_d6_bruto,log_a250_d6_calibrado_cf,log_a300_d6_bruto,log_a300_d6_calibrado_cf
2000,1000000.0,2,1081667.627671194,993825.5406619128,1055017.5405040486,985070.5851402674,967209.550720514,916889.8884082488
2001,680000.0,4,973177.8823823212,887321.84588693,1011023.1080668926,937289.7893323028,972168.1292682184,915955.5910405833
2002,450000.0,4,305244.2717762697,278314.90581752214,309370.9541071895,286808.7129631421,310546.2404961765,292589.8892336847
2003,1080000.0,5,960252.2706204081,881183.4519937228,956410.3203072278,893362.1431363024,925583.821712019,879336.4451993748
2004,350000.0,5,355662.6521702585,326376.7794916479,358402.917861794,334776.39461738954,355224.7270243082,337475.70061316394
2005,490000.0,5,341837.17743454635,313689.7180539325,333348.9158765633,311373.99458841764,327988.33991356636,311600.19667691924
2006,680000.0,2,607865.1202728737,558500.4731123798,612407.3065879091,571805.112886094,575708.9475772529,545757.3411123907
2007,390000.0,2,409268.2125544737,376031.5943756116,402086.26764324086,375428.2177668433,404835.0226810494,383773.2355860881
2008,1350000.0,1,1138872.1736399434,1047165.729924446,1092288.3717801268,1021948.1103655865,1062086.0638065916,1010643.5111786298
2009,400000.0,5,343533.5007483874,315246.36319721566,334773.75562610116,312704.90650482615,323614.05565432494,307444.4762758233
2010,980000.0,4,787477.2248428911,718004.1361307912,797025.0896980687,738898.5201772813,753174.1892465347,709624.280922593
2011,1200000.0,4,1039957.5099301651,948210.0179838332,1015521.7261143677,941460.3258199075,960622.5356242107,905077.5847248735
2012,215000.0,1,252770.27564604307,232416.2239859722,245404.70288460355,229601.33868222847,237946.41986653645,226421.39224048107
2013,750000.0,4,520499.6203153806,474579.9223787207,490458.66634675115,454689.80519675044,473019.08274869254,445668.2547685297
2014,580000.0,2,507161.24306524073,465974.744642442,472699.4338743709,441359.778435184,454192.26928265294,430562.64155811374
2015,1500000.0,4,1859656.818141173,1695593.52967393,1436114.8819819714,1331379.8709938165,1156488.3198330244,1089618.0512742703
2016,300000.0,5,283537.142701128,260190.20815477232,271962.30425632984,254034.09166964615,270297.3783998501,256791.8002598641
2017,420000.0,1,381827.74963434937,351081.4851796276,374056.37433619634,349968.2087616574,371724.2233850325,353719.6156830573
2018,560000.0,3,570044.137658642,523164.06248406577,547391.1036779869,510879.68175702816,549810.4563098584,521170.13312857586
2019,489000.0,1,488147.60049401043,448840.04562902346,483572.372391884,452431.68833291135,477128.2917155116,454018.3968649053
2020,1300000.0,4,1273650.3576423,1161285.9342745831,1189878.3757952692,1103101.2479157115,1174614.6953940762,1106696.3266677912
2021,380000.0,4,399954.962605529,364669.99724861706,398990.0160460452,369891.90959297714,392429.8215777602,369738.8119848941
2022,690000.0,3,905605.3254704323,831128.9070111066,892485.6843659567,832956.1794811452,867224.6499815714,822049.8193445763
2023,700000.0,1,773783.3771985207,711475.3119287848,780769.2285727602,730489.9130905919,744681.0276727871,708612.1117322065
2024,400000.0,4,365806.57155858603,333534.25739428867,369232.6814502494,342304.75985145126,369548.65109064284,348180.6725990619
2025,690000.0,2,826737.7936459443,759598.525218671,801257.7999269904,748134.9451736958,793841.509206963,752541.4241912639
2026,2200000.0,1,1378188.6420549718,1267211.4998810599,1274058.2038657935,1192012.4827608366,1188428.4217487222,1130866.427750553
2027,370000.0,5,375801.9461368556,344857.76945768733,370368.4296528097,345953.1197429723,372691.0237761297,354069.2828866047
2028,579000.0,4,501804.07917980757,457533.7457540914,492817.6896220606,456876.78629649256,481481.15832363244,453641.0376661839
2029,265000.0,1,233110.94560229726,214339.94012235999,232779.86334928323,217789.5028702599,220480.76165910048,209801.6899985135
2030,300000.0,2,354372.8931223805,325594.3166770388,335382.785926361,313147.1321515774,331440.0839273809,314196.7129458283
2031,470000.0,3,519404.66796479025,476689.15126773674,505948.21289378946,472201.06474505516,519564.9078370679,492500.11359146587
2032,900000.0,2,522770.0415249916,480315.9546144392,517187.79836940725,482898.59420133836,491107.467354548,465557.30410615634
2033,814000.0,1,557866.52550298,512944.92999302293,534325.336521642,499916.30606561684,526510.4285115629,501008.6906102086
2034,298500.0,5,358991.3505854145,329431.3871711674,353786.81643334293,330464.5943602249,346207.22301095264,328908.7618468744
2035,700000.0,3,579212.5062672759,531578.4301632867,568585.608756693,530660.4964923308,555495.4081682711,526558.9486428605
2036,1100000.0,4,1517992.1369874158,1384071.3084602961,1332345.2163317115,1235178.0658319306,1204891.8980698322,1135222.8461421572
