Id,preco,fold_busca,raw_a200_d6_bruto,raw_a200_d6_calibrado_cf,raw_a250_d6_bruto,raw_a250_d6_calibrado_cf,raw_a300_d6_bruto,raw_a300_d6_calibrado_cf
2000,1000000.0,2,1023980.6236988944,914000.7687644815,1061648.00209507,969650.2804362585,1069292.3941269512,994494.5374369379
2001,680000.0,4,984115.0585232587,872606.9430087259,979844.1970936011,888117.6235183766,972308.0446775213,897632.7272085716
2002,450000.0,4,287620.137824709,255030.47335906207,291619.3780149054,264319.88855240855,291273.3994678368,268902.98538498825
2003,1080000.0,5,962143.1827433209,859444.7901200639,956258.9759643736,872904.4686666589,929006.888365821,864204.6367533508
2004,350000.0,5,358973.1784114514,320656.66889505775,355743.86247823026,324734.6326290104,352061.1183037884,327503.33142728684
2005,490000.0,5,383450.08712372754,342520.9319780528,362715.8635848763,331098.90326542733,352867.7733152823,328253.7187601726
2006,680000.0,2,620147.181766575,553540.7484902276,602569.2087995443,550353.2254963076,604600.8822436724,562308.5678186353
2007,390000.0,2,421455.45026497083,376189.35029325006,414266.27090766584,378367.7875983322,405627.9025254331,377253.90689130174
2008,1350000.0,1,1204172.6392991599,1078318.1541680342,1181548.39784272,1080657.975398429,1147816.7435786468,1068755.1716188958
2009,400000.0,5,340853.3490722616,304470.9356250587,333477.1923279331,304408.887862098,325455.7111508261,302753.7665831057
2010,980000.0,4,775722.3379470748,687826.7861842506,786442.1506136255,712820.6054691096,757335.4220577232,699170.4573819465
2011,1200000.0,4,1093212.7539176827,969342.9960168768,1056222.1286877012,957345.5551607797,1014276.5591993381,936377.9709133127
2012,215000.0,1,262516.08562768454,235079.13371808155,256259.40335646176,234377.84564188993,249231.55615261057,232064.49640928826
2013,750000.0,4,583359.7814603813,517260.44751133234,525153.65489412,475992.221365375,498923.7819948773,460605.37866866257
2014,580000.0,2,494403.6246552459,441302.5818618611,481799.1610819618,440048.5761148194,462397.8143092154,430052.71802082844
2015,1500000.0,4,2045187.0159395237,1813450.952105259,1649721.641956511,1495285.5448520763,1417266.260963268,1308417.2099296886
2016,300000.0,5,305888.86295668455,273238.53074995737,292577.8334071989,267074.61538480566,285085.5188062933,265199.569894489
2017,420000.0,1,396413.40355625126,354982.1310165547,381321.587518845,348761.18108763505,367220.77861223905,341926.625886388
2018,560000.0,3,556277.8300211462,496969.77228673873,553238.1442993878,505924.1598270319,533776.5509654513,496964.048761635
2019,489000.0,1,504101.7904787527,451415.4320415549,496083.06173624354,453723.36681607895,482266.92902813875,449048.40200588177
2020,1300000.0,4,1357680.0261525984,1203844.0088324551,1270175.2873586018,1151269.8253525835,1229679.3429666655,1135237.3646001276
2021,380000.0,4,404230.94978881424,358428.34667527286,401028.84872775554,363487.1637254611,395564.14961318806,365183.98500033957
2022,690000.0,3,954075.9555327519,852356.2953198049,955284.4291007288,873586.6772177785,902865.5567089906,840598.4147073728
