Id,preco,fold_busca,log_a200_d5_i1200_bruto,log_a200_d5_i1200_calibrado_cf,log_a200_d7_i800_bruto,log_a200_d7_i800_calibrado_cf,log_a200_d6_l2_10_bruto,log_a200_d6_l2_10_calibrado_cf
2000,1000000.0,2,1077826.989991714,988499.9886621641,1143520.3632760516,1047011.8852012309,1095868.9085494906,1005220.3296238942
2001,680000.0,4,981949.5545639552,894130.5187343325,992391.8649422807,902654.8500947715,990269.4229593538,902073.3634715098
2002,450000.0,4,297262.9708172571,270677.74822238245,303615.5154633389,276161.0884556644,309821.2270590304,282227.71489075996
2003,1080000.0,5,962221.4343092912,883049.1052185845,988878.8793762196,905913.7473656493,970057.7254382893,890015.232144957
2004,350000.0,5,357359.27792849945,327955.4781928576,356540.2732345461,326627.1954523125,358855.1638085279,329244.9032135268
2005,490000.0,5,353808.57635960693,324696.9311147004,345631.90076673974,316634.01551281946,347667.5288747368,318980.39498722274
2006,680000.0,2,612273.8632034312,561530.4798030563,583597.0120590408,534343.7925698183,610774.7517819693,560252.4102311423
2007,390000.0,2,411011.9254235499,376948.5152940146,414212.7809696153,379254.90319646156,415192.94456496,380848.8272064668
2008,1350000.0,1,1141451.7553748623,1048569.6265665848,1143398.8559274958,1049574.3984738828,1174696.1760500958,1079956.6270128782
2009,400000.0,5,340825.51026088727,312782.12180711335,336453.3345963421,308225.5142814922,344325.65527256695,315914.26981566095
2010,980000.0,4,783705.8170076269,713616.3822665127,783917.4230595053,713031.7055144472,807290.6332656245,735391.1571587098
2011,1200000.0,4,1069971.3090898425,974280.1930921834,1034586.2548909457,941033.8131631233,1051375.1101105227,957736.8136979793
2012,215000.0,1,253339.053654984,232724.36669782767,250610.23359035328,230045.78306896047,248481.51665202135,228441.41835966727
2013,750000.0,4,492539.3488872703,448489.9060962527,506833.6572766158,461003.2337967797,526362.038751523,479482.8192123192
2014,580000.0,2,483527.3486516722,443454.08223976527,499580.25450085604,457417.708396314,502530.26692823676,460961.74152455427
2015,1500000.0,4,1887173.7360619705,1718397.4713611398,1721672.020281294,1565989.8617465608,1614978.7640226446,1471144.4096126202
2016,300000.0,5,289122.21885403665,265333.0174889907,281913.6169848086,258261.57937280534,285983.6671507137,262386.2613885245
2017,420000.0,1,379235.1350391795,348376.0413495249,377771.2109901975,346772.2479170726,377085.0922782181,346673.08250117046
2018,560000.0,3,561650.4364585247,515359.54778888053,556259.8144572767,509787.18373431184,559045.5072731937,512983.4334304681
2019,489000.0,1,487251.7296948413,447603.1175599294,495096.5215139103,454470.13617392076,483517.3204887242,444521.5241043219
2020,1300000.0,4,1256677.7356537934,1144288.8389118665,1272617.5565618337,1157541.1390671858,1240115.217815584,1129667.219537106
2021,380000.0,4,399727.85910980374,363978.8585444434,399743.65604290995,363596.84381606185,398851.8349386696,363329.0172634938
2022,690000.0,3,916052.8750114328,840552.3520882336,912309.1899194063,836090.4752354102,918715.1979276959,843018.4492072024
2023,700000.0,1,778893.7060377982,715513.6243203711,794573.9809465307,729373.2224512878,763373.5623472346,701807.288004798
2024,400000.0,4,373043.8604876309,339681.2992461508,365211.70247510576,332187.44146970264,366914.1374117863,334235.77701831475
2025,690000.0,2,849982.9468264283,779538.9622850476,823037.253828441,753576.2496200814,826762.6529515461,758374.1267198713
2026,2200000.0,1,1353104.1978104608,1242999.501926246,1330734.4944887923,1221537.7419181948,1356508.932718448,1247106.1380461834
2027,370000.0,5,374759.36036534916,343923.86829385266,378314.6315803075,346574.72489892587,377011.9444893646,345903.5112003439
2028,579000.0,4,506223.47227479925,460950.2125203939,506114.7827458069,460349.3634812648,501421.81447147095,456763.8384173686
2029,265000.0,1,228052.41559452418,209495.3511013927,233915.7194942056,214721.1791484288,226011.87517923527,207783.959256724
2030,300000.0,2,359269.4724527899,329494.318423938,353540.313317296,323702.94559557154,356270.8732683677,326800.69839397917
2031,470000.0,3,518381.629658813,475656.92982908746,510489.8515450235,467841.06451765297,505900.5701588097,464217.32770973933
2032,900000.0,2,535161.5887777366,490809.0346144377,524706.4267576929,480423.33368063695,519392.7137805441,476429.35288837855
2033,814000.0,1,561499.248770094,515808.9729398314,552351.3685897753,507026.7933437576,557299.7928859155,512353.42110655014
2034,298500.0,5,357973.96515104506,328519.58847195137,363758.7234763892,333240.0309017717,357938.86338895024,328404.2096040032
2035,700000.0,3,569297.3111133615,522376.1716678971,562074.2487379303,515115.8521009718,575378.2144694251,527970.421261931
2036,1100000.0,4,1485593.706617713,1352732.0882755606,1534707.4752905716,1395931.5820553491,1588715.3350429474,1447220.0722891372
2037,700000.0,4,748221.6430418293,681305.676764959,750569.2320069962,682699.0239812454,730379.9470811605,665330.3436419332
2038,635000.0,4,559659.6759897395,509607.43765458086,564293.5844900067,513267.34822326835,569440.4110950411,518724.51579693693
2039,160000.0,4,175198.00175968456,159529.4579711554,180141.3600821869,163852.08114368422,172810.6958455451,157419.71026367985
2040,480000.0,4,402925.5224720573,366890.54416774324,414478.093468492,376998.9200275523,414102.71319909685,377221.6112680275
2041,350000.0,3,225753.1888960212,207146.74785077406,228247.15510178384,209178.28570491466,224994.5224724549,206456.29226846818
2042,950000.0,5,1008041.2278720501,925098.8104778929,978668.748544533,896560.22786419,968114.4993793854,888232.3477386252
2043,440000.0,1,348197.76158884773,319864.23878303444,349637.34354163025,320946.9754401983,354363.44384706876,325783.94086593797
2044,790000.0,2,757326.7032986572,694561.7845680706,739789.1349527363,677353.9341435126,753398.474125171,691078.5191457426
2045,860000.0,1,880297.765430105,808666.2400035522,878748.9633965674,806641.0158494903,866530.821276437,796644.8874423607
2046,370000.0,4,341311.4361830715,310786.8118743093,334543.57340074953,304292.4773630488,342510.32567660365,312005.43442357494
2047,460000.0,5,428474.09501508425,393218.9127381191,437750.1981993784,401023.75602460577,434471.71457127744,398622.09615398006
2048,300000.0,2,269999.8552292955,247623.0937907728,267634.06887098536,245046.83955946387,265301.8758123765,243356.51552241357
2049,1200000.0,3,940832.2890083336,863289.4617973245,959587.1000394531,879418.56046921,933746.5957953484,856811.347973205
2050,169000.0,4,153229.02659317967,139525.2417969229,153381.91852271717,139512.3615603442,154808.61325731757,141020.941591893
2051,1600000.0,1,1051943.7571068518,966345.0665913912,1054752.8359709932,968202.4497522113,1069250.3903305298,983015.0710598017
2052,330000.0,2,378400.7742946178,347040.07653664285,373836.76009446365,342286.4546309229,372404.2175304323,341599.5174046527
2053,530000.0,4,297496.609767852,270890.4920594981,299212.66751622286,272156.36794747564,293821.2505538486,267652.7393468701
2054,1200000.0,4,1296038.905427561,1180129.8075076893,1306820.7392772078,1188651.4996589725,1329431.8534235333,1211029.0752390055
2055,450000.0,5,425891.2358342237,390848.57322245266,417535.2288138702,382504.78565236024,415219.744303173,380958.66609400796
2056,435000.0,2,439126.06123374053,402732.63759534387,442148.72090056166,404833.1631656787,441611.79549238324,405082.3517004684
2057,320000.0,3,290315.83369328815,266388.1785822726,295583.6823833203,270889.1943722881,288365.175798039,264605.57510637504
2058,450000.0,2,394137.45898621104,361472.552976428,392910.2445192075,359750.2143734212,388785.45303980034,356625.72248256597
2059,580000.0,3,731780.4356665716,671467.535543745,753864.7286339265,690883.2292727798,766046.4095176036,702928.6743366797
2060,420000.0,5,347597.4883530038,318996.89626710647,347234.0164009663,318101.71657124517,349437.7048715456,320604.50823267456
2061,1750000.0,1,1379842.6457596116,1267562.190843224,1390463.8876198747,1276365.8900676987,1376368.1478902432,1265363.7024013943
2062,390000.0,4,272193.66642891016,247850.47564724975,266312.73739854124,242231.41336289563,268588.9607096699,244667.70513284235
