iteracoes,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
400,250000,330,0.26516501386376545,0.21098115843325027
400,300000,695,0.2343069828724256,0.1981862449182823
400,355000,1178,0.2093931661652344,0.18903261317007167
400,400000,1657,0.19820216053635697,0.1896060544185526
400,500000,2316,0.19601428940923776,0.19978660866478343
400,830000,3515,0.2051402299044972,0.21532398401776084
600,250000,330,0.2660826730450688,0.21184986870580857
600,300000,695,0.2352199878451265,0.19866368319407945
600,355000,1178,0.20984909574361493,0.18900808414527334
600,400000,1657,0.1980806967172486,0.18906780769727802
600,500000,2316,0.1954068294761997,0.19891348981580165
600,830000,3515,0.20512351519506863,0.21485024820798734
800,250000,330,0.26784534642577457,0.21268976472080192
800,300000,695,0.236615588304346,0.1991396071165884
800,355000,1178,0.21078891387319112,0.1892377426703118
800,400000,1657,0.19854770256328066,0.18906334619282567
800,500000,2316,0.19547650461497296,0.198734942294497
800,830000,3515,0.20510953166730517,0.2146531397626267
1000,250000,330,0.26879105183706875,0.21312543647959734
1000,300000,695,0.23731025148035395,0.19927872711533984
1000,355000,1178,0.21135561889200752,0.1893475210079701
1000,400000,1657,0.19878915342169245,0.18896613220537845
1000,500000,2316,0.1955587244088537,0.19863509826350276
1000,830000,3515,0.20514614804236303,0.2145547142387336
1200,250000,330,0.26990821262405207,0.2133043135389699
1200,300000,695,0.2379960189838875,0.19933209278563718
1200,355000,1178,0.2117792715599899,0.18928906819886518
1200,400000,1657,0.1989602301257565,0.18882079358655418
1200,500000,2316,0.1956500451654671,0.19853774704604243
1200,830000,3515,0.2051404413033786,0.21442145578706773
