iteracoes,fold,rmspe_ate_355k
400,1,0.2192918551112402
600,1,0.2188329095542944
800,1,0.21766715707057244
1000,1,0.21780587786876363
1200,1,0.21847676765674798
1400,1,0.21824691659546736
1600,1,0.21857892391731099
400,2,0.21140430154591056
600,2,0.2118934115114574
800,2,0.2123857657912393
1000,2,0.2136448020682581
1200,2,0.21426148558599775
1400,2,0.2148293934189961
1600,2,0.21554079223028508
400,3,0.21166147899852983
600,3,0.20978121179900086
800,3,0.20841356182471907
1000,3,0.2078210569706928
1200,3,0.20832660865892016
1400,3,0.20851447760899094
1600,3,0.20923611133678613
400,4,0.1869254776932557
600,4,0.1862465657639773
800,4,0.18516870471380967
1000,4,0.1849889137551814
1200,4,0.18524673770121686
1400,4,0.1854551620614201
1600,4,0.18555392474873306
400,5,0.21995219475364977
600,5,0.22199752698399616
800,5,0.22360177130761832
1000,5,0.22515239816348848
1200,5,0.22630572870586782
1400,5,0.22754317447029837
1600,5,0.2285984061010853
