nome,limite_preco,quantidade,rmspe,rmspe_calibrado_cf
log_a200_d6_rs025,250000,330,0.266404376196325,0.21314319247530253
log_a200_d6_rs025,300000,695,0.23535878058514523,0.1994067158792638
log_a200_d6_rs025,355000,1178,0.2102239269780434,0.1897481637678703
log_a200_d6_rs025,400000,1657,0.19843814464906984,0.18946289150939558
log_a200_d6_rs025,500000,2316,0.19540779678684414,0.1988958280980861
log_a200_d6_rs025,830000,3515,0.2055685435561346,0.2150211445210935
log_a200_d6_rs050,250000,330,0.2616431872575837,0.21135580694992337
log_a200_d6_rs050,300000,695,0.2336116011577326,0.1996755949767824
log_a200_d6_rs050,355000,1178,0.20963092299803915,0.19028309540530253
log_a200_d6_rs050,400000,1657,0.19850950977830273,0.19010885767272548
log_a200_d6_rs050,500000,2316,0.19543161644993506,0.19907738705525654
log_a200_d6_rs050,830000,3515,0.20578894374069154,0.215154078455967
log_a200_d7_i800_rs0,250000,330,0.26784534642577457,0.21268976472080192
log_a200_d7_i800_rs0,300000,695,0.236615588304346,0.1991396071165884
log_a200_d7_i800_rs0,355000,1178,0.21078891387319112,0.1892377426703118
log_a200_d7_i800_rs0,400000,1657,0.19854770256328066,0.18906334619282567
log_a200_d7_i800_rs0,500000,2316,0.19547650461497296,0.198734942294497
log_a200_d7_i800_rs0,830000,3515,0.20510953166730517,0.2146531397626267
