Id,preco,fold_busca,log_a200_d6_rs025_bruto,log_a200_d6_rs025_calibrado_cf,log_a200_d6_rs050_bruto,log_a200_d6_rs050_calibrado_cf,log_a200_d7_i800_rs0_bruto,log_a200_d7_i800_rs0_calibrado_cf
2000,1000000.0,2,1126123.6420384645,1032002.912595575,1112404.586649252,1021949.5273469494,1167506.5847889076,1066487.6458482253
2001,680000.0,4,983404.6528874296,893694.906704547,970496.8607008273,884192.0374864219,987014.4875168011,894942.1247600818
2002,450000.0,4,320003.79781207175,290811.88846428716,309940.52314970235,282377.9795283878,310667.20228745055,281687.0163759055
2003,1080000.0,5,963739.011468092,883355.6643114655,971312.2290934562,892065.2268130272,975198.4749662636,890992.094556186
2004,350000.0,5,355725.3935999594,326055.12243119715,358142.47637554555,328922.5028264217,354125.0818148102,323547.11013260536
2005,490000.0,5,353770.32211438246,324263.1191498447,354913.7312213076,325957.18313614564,367489.48457586096,335757.524232128
2006,680000.0,2,588910.8263892535,539690.0175123201,596709.9646448337,548188.5580576797,572440.6926224835,522910.05003030656
2007,390000.0,2,413622.0212253594,379051.7441278083,408416.39246426354,375206.0574442804,421492.11609305354,385022.3548991314
2008,1350000.0,1,1139528.9149639977,1045698.152802437,1119354.5412870678,1029605.2821241032,1176407.0238311044,1077486.1655921072
2009,400000.0,5,337629.0197549712,309468.12724967295,336495.17459713796,309041.35174808267,333142.28496411437,304376.1345870425
2010,980000.0,4,785004.1002777308,713393.1735024041,843202.4921233467,768217.7652648793,811158.0817313505,735490.2550694423
2011,1200000.0,4,1040357.6900911643,945452.4808840934,1032645.2778675613,940813.6895765982,1058531.7488000225,959787.9913398655
2012,215000.0,1,257160.13129974258,235985.12573335535,257145.28246486816,236527.50878617587,255906.0944441161,234387.64889066946
2013,750000.0,4,502990.4231411565,457105.80884741154,491694.2230495262,447968.59681185894,505314.0520120865,458176.4878817195
2014,580000.0,2,486532.51494897966,445868.42310752854,498018.72149506066,457522.38272843824,485635.3409256629,443615.5634857978
2015,1500000.0,4,1898613.1388173613,1725414.7486300734,1847877.4110400868,1683548.4577588348,1773258.7393194379,1607842.604122777
2016,300000.0,5,288265.81142155227,264222.195341731,280096.8899667259,257244.46598494312,274619.2713664304,250906.4627164579
2017,420000.0,1,375819.26302994887,344873.6613676951,372161.4335561065,342321.72529684333,381701.84781773976,349605.58044373366
2018,560000.0,3,534940.712215406,490174.6351715489,549150.3433749313,504442.9432041696,530633.1123940792,485953.30346001755
2019,489000.0,1,488474.8665323754,448253.0095688358,498629.15064613527,458649.32725962164,502945.808409311,460654.4670557608
2020,1300000.0,4,1243610.7465790324,1130164.0549263738,1253021.373303609,1141592.0709679509,1307186.4912036655,1185247.299498804
2021,380000.0,4,402056.20646619896,365379.17821802764,403566.49269358633,367677.932701722,405320.82761742047,367511.0013734976
2022,690000.0,3,923309.9218418652,846043.4843606832,933720.4733642295,857704.4690879165,936086.0255509401,857266.6986175689
2023,700000.0,1,771600.4662976247,708065.5626315698,798703.0289947379,734663.4396604504,786502.3133340207,720367.4788202071
2024,400000.0,4,363254.7456770158,330117.32768867223,368271.0560100276,335521.2660097015,366235.03826445027,332071.279045332
2025,690000.0,2,837472.9697102671,767477.4879928689,804000.7004874106,738623.4700134298,778247.2029843254,710909.075985029
2026,2200000.0,1,1319172.93333926,1210549.9750863446,1397315.6744058994,1285279.6375926393,1320058.6814143378,1209058.5470679004
2027,370000.0,5,377637.1217184364,346139.24159414787,382369.022304179,351172.4637981817,386267.1009852171,352913.73212706303
2028,579000.0,4,505711.285738352,459578.4644707268,499504.61578201037,455084.42308946006,501776.43244451104,454968.8705544764
2029,265000.0,1,228107.89201136335,209325.0975763758,238512.23543587513,219388.44968068556,234612.55723058418,214884.62714791988
2030,300000.0,2,360233.65481084003,330125.54492398957,367155.7959323477,337300.56188096537,362130.52534362767,330797.0477385662
2031,470000.0,3,483332.8168254441,442885.5044004371,492995.28213551856,452859.5749896851,473151.55637302506,433311.7487134144
2032,900000.0,2,524270.41409116186,480452.21157987806,529036.441852132,486017.9004912427,531337.5004404485,485363.32674994797
2033,814000.0,1,552097.012272984,506636.3988840458,574717.6676597518,528637.1069456988,571796.1504307272,523715.3715909683
2034,298500.0,5,360861.6112707304,330762.9395047228,361557.9290430153,332059.29701804754,361907.9816757253,330657.9726152786
2035,700000.0,3,556848.8658181903,510249.42281493696,570937.4184284013,524456.2899977616,556645.7397141509,509775.64300613175
2036,1100000.0,4,1541789.804206635,1401142.1353181228,1520071.4932183693,1384893.8261821952,1551647.1778539862,1406903.7889405787
2037,700000.0,4,723232.6988876661,657256.7838278046,716793.8852183878,653050.485265227,736576.3657330578,667865.7974470522
2038,635000.0,4,580492.1937610175,527537.58630564,574148.2668978642,523090.1268048663,576928.9235862595,523110.85930341535
2039,160000.0,4,176269.07198695964,160189.16666882552,176807.35423389054,161084.14268311497,178771.5120361458,162095.0440461265
2040,480000.0,4,393843.27190110384,357915.4573902156,393565.7942254216,358566.5812765681,393037.2823580642,356373.3106576784
2041,350000.0,3,220214.44169190564,201785.97581178354,221027.72015151093,203033.42250086178,224454.57369591933,205555.2867255613
2042,950000.0,5,1033847.1131492521,947616.2037284977,1013003.0925350301,930354.6341097412,1065005.412271682,973044.3877349657
2043,440000.0,1,353268.979934842,324180.20719723176,363001.3492859175,333896.0917719691,359423.38169531577,329200.4497778608
2044,790000.0,2,768833.1046502616,704574.5011291285,749642.6086402024,688685.500557491,723860.0322013209,661227.7752639721
