Id,preco,fold,previsao_correspondencia,catboost_alpha_1.00,catboost_alpha_1.50
2000,1000000.0,2,,1094654.463370524,1095918.521902345
2001,680000.0,4,,963946.5969271137,976264.5398215272
2002,450000.0,4,,306897.4688437773,302373.4996193184
2003,1080000.0,5,990000.0,991187.807286158,969178.3301117038
2004,350000.0,5,360000.0,363217.12625248753,357977.97749183583
2005,490000.0,5,,361930.1946017357,361595.42603473517
2006,680000.0,2,,670007.3798173721,622098.6648975768
2007,390000.0,2,370000.0,427658.73223978747,417633.9291629927
2008,1350000.0,1,1100000.0,1224061.0798913368,1165237.050059424
2009,400000.0,5,370000.0,357353.764461712,351435.706429049
2010,980000.0,4,,811142.7008291302,791819.1624912816
2011,1200000.0,4,1200000.0,1127893.4623177184,1110293.521853471
2012,215000.0,1,,269722.92285088956,264211.5222291902
2013,750000.0,4,,543862.3430398682,533801.3515566502
2014,580000.0,2,630000.0,533983.140430186,512479.306232807
2015,1500000.0,4,,2087482.3080712375,2224776.0442492953
2016,300000.0,5,299500.0,308739.65019515064,296013.9572817768
2017,420000.0,1,,392925.92499570956,383556.55569988384
2018,560000.0,3,540000.0,568248.9332558936,576033.4303281684
2019,489000.0,1,600000.0,507053.74930864415,494850.30694133136
2020,1300000.0,4,,1365076.8072657806,1311117.112348884
2021,380000.0,4,446000.0,403565.6742042149,401135.6414035083
2022,690000.0,3,,964249.7333670481,925354.4890885206
2023,700000.0,1,,814351.7634054223,773184.2905498256
2024,400000.0,4,,397502.6814511428,384519.49592460913
2025,690000.0,2,705000.0,755947.59176321,785310.6617379726
2026,2200000.0,1,2500000.0,1481001.3497767341,1431897.9197192923
2027,370000.0,5,,377167.9653221182,388097.6726202921
2028,579000.0,4,,517920.9718683472,505216.8484815121
2029,265000.0,1,,246075.30754940308,237550.1920640686
2030,300000.0,2,,407454.4524941,382013.9356027983
2031,470000.0,3,,506426.53325989575,514148.52024051285
2032,900000.0,2,,592876.1250941386,547611.611359966
2033,814000.0,1,697500.0,580953.176425189,561803.1951191822
2034,298500.0,5,567000.0,370619.30505773606,363465.0261236012
2035,700000.0,3,,589404.8502803663,578206.3169001803
2036,1100000.0,4,,1615834.9588616372,1658513.2822551238
2037,700000.0,4,,747275.1324078972,744816.735674732
2038,635000.0,4,615000.0,592530.3903706656,573960.785090762
2039,160000.0,4,,194195.45185944013,182074.7531340901
2040,480000.0,4,485000.0,444766.670761598,423875.9467023429
2041,350000.0,3,,246204.26111074694,233990.52040518366
2042,950000.0,5,950000.0,1085577.0898718438,1070455.5705103858
2043,440000.0,1,,359162.69341120264,358957.03806594585
2044,790000.0,2,800000.0,761530.8972235252,739056.9867696936
2045,860000.0,1,,854606.8066085683,859930.534172948
2046,370000.0,4,386500.0,349002.18898285076,347195.9041023166
2047,460000.0,5,340000.0,422970.3591476174,429328.46226665046
2048,300000.0,2,,287029.33579524176,285433.34612701094
2049,1200000.0,3,1200000.0,998517.5038909537,1014474.6583582879
2050,169000.0,4,,167867.93718784582,158651.79151400347
2051,1600000.0,1,,1143954.6726745097,1090346.7851455896
2052,330000.0,2,,368765.17569637654,373853.0824057006
2053,530000.0,4,,310398.70560661505,302418.07804576773
2054,1200000.0,4,,1377785.5936842368,1348938.911267795
2055,450000.0,5,,419774.3960886688,422768.94476709294
2056,435000.0,2,450000.0,427207.9971753039,437064.77642416174
2057,320000.0,3,,314098.5605901162,298370.05340486945
2058,450000.0,2,,400998.0001887875,397999.83004617016
2059,580000.0,3,,810383.0358612151,750038.9824553634
2060,420000.0,5,353229.0,351897.35855607595,347689.513034807
2061,1750000.0,1,,1552851.628357235,1474644.7669467959
2062,390000.0,4,369391.065,285614.60674634465,274216.5609870697
2063,220000.0,2,,237798.18271267618,238539.96047733087
2064,900000.0,5,925000.0,930276.9507648243,963354.7580503323
2065,200000.0,3,,234829.00819990045,241999.856584734
2066,314000.0,5,,247878.7164004885,249458.96009598806
2067,700000.0,2,,732244.7040965047,750997.8240253238
2068,607000.0,5,550000.0,560856.6469780462,556169.1833138191
2069,225000.0,1,,243698.9274807205,234092.96904473755
2070,395000.0,1,350000.0,408925.51880215644,402297.0017473384
2071,1000000.0,4,715000.0,994357.188274041,956306.5946178861
2072,1400000.0,3,,1260512.169715768,1185354.7521836665
2073,1200000.0,1,1250000.0,1336552.0917811051,1205160.1368710191
2074,220000.0,5,,226307.1865887222,232811.42447861537
2075,350000.0,2,369550.0,312764.8066864736,306544.7584691519
2076,550000.0,2,,519710.79549612885,520152.13455217174
2077,270000.0,5,270000.0,268656.4799943138,252861.5839332351
2078,380000.0,3,450000.0,410237.5632438671,405819.5915593692
2079,1100000.0,1,1225000.0,845974.8559972929,825050.4165676734
2080,750000.0,1,,736788.6819561584,726479.5523924382
2081,450000.0,4,,426299.96987201634,410853.27704696666
2082,1350000.0,2,1250000.0,1281196.465911906,1208848.3219946865
2083,220000.0,4,,228343.2814624451,221724.09997331494
2084,470000.0,1,348500.0,336796.513539883,337936.77839740016
2085,1003680.0,3,1003680.0,887396.9806841741,865604.1744982366
2086,460000.0,3,399000.0,387266.2834136861,379168.87360811146
2087,820000.0,3,,576529.6386784423,590559.8912818613
2088,175000.0,2,,295585.95408285485,296438.033525088
2089,350000.0,4,,398693.7841585498,359333.177277193
2090,520000.0,1,490000.0,528476.297336587,520906.5774017071
2091,450000.0,3,440000.0,378290.4721943463,379349.73312902584
2092,380000.0,5,340000.0,288318.3866499757,274000.70303212863
2093,480000.0,1,,288162.8669248467,279826.50390829553
2094,440000.0,4,330000.0,331578.256782731,326822.12202151446
2095,380000.0,1,340000.0,369109.50989214884,355355.04892185226
2096,3500000.0,1,,2361517.0830466594,1879480.366623994
2097,900000.0,4,,1118213.9547487102,1097602.1229135771
2098,1000000.0,5,,901452.8891635545,928623.0354956046
2099,240000.0,1,240000.0,185804.976803499,183067.4605005342
2100,620000.0,1,,714863.3660553838,709019.2758273405
2101,850000.0,4,865000.0,881308.9532511914,880097.0076659129
2102,850000.0,2,,824889.1053074872,801988.801782495
2103,270000.0,2,300000.0,347571.7388255329,354710.1587930225
2104,1000000.0,3,,1263519.1924617125,1222617.7132438857
2105,320000.0,4,398000.0,238957.35155674792,234664.76911665182
2106,450000.0,5,430000.0,369727.5075540439,375174.9885300574
2107,450000.0,4,475000.0,486488.36651801073,482305.980019501
2108,950000.0,2,,1232385.054860948,1213467.6921861868
2109,530000.0,1,500000.0,461604.6336427487,457769.02527592616
2110,249000.0,5,160000.0,218848.9399542503,204834.71317434078
2111,474000.0,1,385000.0,415768.5938758482,413478.3016075021
2112,305000.0,5,309000.0,309149.3586150251,312538.2649500476
2113,430000.0,1,,439251.745849458,429481.17237247986
2114,650000.0,5,,797768.1401302494,758144.3145042949
2115,780000.0,3,,654210.9042049188,641685.9016702515
2116,1065000.0,5,1000000.0,972908.7798241567,997946.9726837182
2117,1250000.0,5,1350000.0,1235134.2763395305,1083939.1462878538
2118,456000.0,3,400000.0,436156.82680701034,444275.92521851504
2119,409000.0,5,373500.0,355461.59628567286,352050.8756801753
2120,360000.0,1,,287064.6999300606,289100.1093743852
2121,959000.0,2,,802048.3623039012,847548.8373832832
2122,395000.0,1,370000.0,352599.98776699766,344641.3839278312
2123,460000.0,3,,433427.558063305,408232.9615956346
2124,2750000.0,2,,1502778.1642109365,1591374.6258419699
2125,2250000.0,5,,1104160.0278263849,940379.8865530939
2126,850000.0,4,,862711.9826764023,840867.3060952532
2127,1500000.0,5,1490000.0,1203643.6832768116,1179767.4387312222
2128,400000.0,3,430000.0,347942.59063123947,342215.5671384334
2129,1307550.0,4,,1022560.5528228804,948131.6919902845
2130,317000.0,5,370000.0,296105.029999857,289749.1822191241
2131,1150000.0,5,,1070085.4717992374,1039465.0296335994
2132,450000.0,1,,443460.47880055004,448063.68002378807
2133,1490000.0,5,,1283024.607197591,1239445.8500858299
2134,340000.0,1,236000.0,314802.5461302934,296518.56021880015
2135,350000.0,1,380000.0,365376.92243451206,368380.54559382127
2136,320000.0,4,,282413.97973185295,276641.3677166873
2137,950000.0,5,,1005773.3437712648,944051.2159331877
2138,450000.0,5,,376161.97640213295,395845.4175205621
2139,1657785.0,1,1800000.0,1557154.0573176234,1413246.969160204
2140,550000.0,3,,420335.9937577459,412693.12091191305
2141,440000.0,3,477500.0,417136.5895793751,407311.17074502097
2142,325000.0,4,554000.0,375394.0544132851,372744.2148571393
2143,630000.0,5,650000.0,529955.008270166,517328.8640602874
2144,295000.0,1,295000.0,294320.0769606407,293918.0818122073
2145,300000.0,4,,316137.7039336539,312869.25261904637
2146,340000.0,5,,392919.8599683963,366901.0582346148
2147,425000.0,4,,574148.331382587,567766.1365822093
2148,870000.0,4,,856666.1574289736,851133.244616694
2149,550000.0,1,495000.0,504615.0782295672,482100.0790549612
2150,1600000.0,1,,1609033.8827817768,1526454.218156678
2151,460000.0,1,,490771.82676170435,461476.5340391339
2152,388008.0,1,388008.0,437198.8980718455,434089.20275255624
2153,1100000.0,4,,938315.8512854357,916478.5156916882
