Id,previsao_correspondencia,catboost_a100_bruto,catboost_a100_corr30,catboost_a150_bruto,catboost_a150_corr30
0,,1191532.7367824053,1191532.7367824053,1146428.4340203337,1146428.4340203337
1,,235302.47873385585,235302.47873385585,228712.5305938642,228712.5305938642
2,,617942.6615396522,617942.6615396522,616581.8166487849,616581.8166487849
3,195000.0,213122.87320845193,207686.01124591634,206140.00989705336,202798.00692793733
4,,295719.9918017022,295719.9918017022,292876.94781947904,292876.94781947904
5,,253657.61255886266,253657.61255886266,234783.24131782868,234783.24131782868
6,,732351.4628484502,732351.4628484502,734357.3674011189,734357.3674011189
7,,276599.3966340362,276599.3966340362,265430.93012101424,265430.93012101424
8,330000.0,332037.94581749,331426.56207224296,328501.65350037743,328951.1574502642
9,,761893.8485336305,761893.8485336305,756388.9165220906,756388.9165220906
10,540000.0,689069.6703015167,644348.7692110616,668883.5245162961,630218.4671614072
11,,522626.65025125135,522626.65025125135,552543.5829142291,552543.5829142291
12,1100000.0,1072848.3489146805,1080993.8442402764,1034361.1261440624,1054052.7883008437
13,365000.0,353775.8679171652,357143.1075420156,353741.24707406113,357118.8729518428
14,,763385.9268511721,763385.9268511721,771878.0553687252,771878.0553687252
15,,580856.4369794269,580856.4369794269,574223.5183129946,574223.5183129946
16,448000.0,380364.9884667597,400655.4919267318,369611.28356134647,393127.8984929425
17,400000.0,335524.44456945243,354867.1111986167,321510.9848107911,345057.68936755374
18,,351111.62225178943,351111.62225178943,339174.86139591207,339174.86139591207
19,,918771.0778922781,918771.0778922781,913404.7593423639,913404.7593423639
20,,729906.6059937228,729906.6059937228,709617.6666871413,709617.6666871413
21,,297569.5811408618,297569.5811408618,284303.45395712764,284303.45395712764
22,360000.0,333280.78443559393,341296.5491049157,319823.95456293965,331876.76819405775
23,,338636.4255034008,338636.4255034008,326404.8470267258,326404.8470267258
24,,307145.04557454033,307145.04557454033,310351.8971000521,310351.8971000521
25,,354620.2139041759,354620.2139041759,352469.1453951763,352469.1453951763
26,512500.0,464316.09992912895,478771.26995039027,441614.4086093425,462880.08602653974
27,535000.0,557362.3659071269,550653.6561349889,546434.832229452,543004.3825606164
28,,745312.666334337,745312.666334337,754939.713355,754939.713355
29,890000.0,885194.4251190909,886636.0975833636,889811.9819616606,889868.3873731623
30,350000.0,360372.14999501023,357260.50499650714,358482.606121981,355937.8242853867
31,,1463702.7238061447,1463702.7238061447,1421335.4107722954,1421335.4107722954
32,,1220322.1866736691,1220322.1866736691,1098758.6057576775,1098758.6057576775
33,,1437540.4170434105,1437540.4170434105,1282504.7291942528,1282504.7291942528
34,1200000.0,1031534.1497585836,1082073.9048310085,1039311.7585444162,1087518.2309810913
35,260000.0,399059.70396347524,357341.79277443263,392229.2138631313,352560.4497041919
36,482500.0,483519.826193442,483213.8783354094,476586.0705515041,478360.24938605283
37,2900000.0,2093706.9037752214,2335594.832642655,1814116.8230797749,2139881.7761558425
38,442500.0,419152.58556031407,426156.80989221984,435467.73472030304,437577.4143042121
39,314000.0,387122.56965270074,365185.7987568905,386105.9669919073,364474.1768943351
40,,1968378.865913671,1968378.865913671,1752466.077833111,1752466.077833111
41,,630716.9612120612,630716.9612120612,649904.5668673385,649904.5668673385
42,,365705.79485123896,365705.79485123896,358384.6782440039,358384.6782440039
43,1200000.0,1099842.254578447,1129889.5782049128,986134.4549319904,1050294.1184523932
44,,970293.8282307796,970293.8282307796,999916.7604705809,999916.7604705809
45,,221781.51652896614,221781.51652896614,223598.0266811299,223598.0266811299
46,,1013557.4098308745,1013557.4098308745,933781.6240901658,933781.6240901658
47,730000.0,474695.48682566185,551286.8407779633,457049.87131839735,538934.9099228781
48,,250378.70377965522,250378.70377965522,245751.9665495944,245751.9665495944
49,,427801.45057791733,427801.45057791733,432899.3329467023,432899.3329467023
50,580000.0,433616.1632391314,477531.314267392,419620.31140153937,467734.21798107756
51,360000.0,347438.49778425,351206.948448975,340130.3523372627,346091.2466360839
52,900000.0,587052.3158196161,680936.6210737312,547857.1426363216,653499.9998454251
53,,872876.996009216,872876.996009216,889150.1917312318,889150.1917312318
54,,931378.9108044284,931378.9108044284,942986.5048825224,942986.5048825224
55,,334668.4408266797,334668.4408266797,323784.9043816084,323784.9043816084
56,,602118.5771510999,602118.5771510999,597611.2431211348,597611.2431211348
57,,391135.2463616793,391135.2463616793,390702.70812244504,390702.70812244504
58,,859511.875584263,859511.875584263,805332.4025007216,805332.4025007216
59,,1375370.2361637468,1375370.2361637468,1238192.2409048127,1238192.2409048127
60,2600000.0,1950362.795285839,2145253.956700087,1734628.478665718,1994239.9350660027
61,650000.0,573144.4581846008,596201.1207292206,558961.265052376,586272.8855366632
62,1544962.0,1033197.16715923,1186726.617011461,1038013.0952861946,1190097.7667003362
63,5000000.0,3185466.192636967,3729826.334845877,2850562.4304233813,3495393.7012963668
64,380000.0,396113.73178425676,391279.6122489797,390858.8090627646,387601.1663439352
65,420000.0,450391.9417599456,441274.3592319619,437254.2776011296,432077.9943207907
66,,532969.4407750732,532969.4407750732,536846.8675643721,536846.8675643721
67,,934516.2620398797,934516.2620398797,950901.4429667271,950901.4429667271
68,900000.0,763142.1997598516,804199.5398318961,701617.8323870865,761132.4826709605
69,,375500.7894238321,375500.7894238321,376325.0862726709,376325.0862726709
70,,1792658.6538412634,1792658.6538412634,1568777.2689555571,1568777.2689555571
71,,271813.3358741591,271813.3358741591,265874.34207644156,265874.34207644156
72,350000.0,511803.2300791114,463262.26105537795,498806.7522287927,454164.7265601549
73,,415372.33011231234,415372.33011231234,406209.3398139168,406209.3398139168
74,,269764.03683113004,269764.03683113004,272957.2156217296,272957.2156217296
75,,2035256.8133109666,2035256.8133109666,1859187.8893264672,1859187.8893264672
76,,322772.7062559335,322772.7062559335,315566.49375370936,315566.49375370936
77,490000.0,371812.25080393034,407268.5755627512,350962.7861953801,392673.9503367661
78,,200279.42578555626,200279.42578555626,189645.66609273164,189645.66609273164
79,,274602.32234355214,274602.32234355214,280470.3273453002,280470.3273453002
80,495000.0,544180.1531555053,529426.1072088537,540108.6559293575,526576.0591505503
81,,422782.63441992155,422782.63441992155,411701.7254204487,411701.7254204487
82,,258075.28919781555,258075.28919781555,257964.7790847543,257964.7790847543
83,1600000.0,1470871.1952806253,1509609.8366964376,1443166.9090414154,1490216.8363289908
84,,2506968.939759622,2506968.939759622,2186850.335083618,2186850.335083618
