Id,preco,fold_s7,especialista_s7_bruto,especialista_s7_calibrado_cf,fold_s42,especialista_s42_bruto,especialista_s42_calibrado_cf,fold_s2026,especialista_s2026_bruto,especialista_s2026_calibrado_cf
2000,1000000.0,1,1148602.7642023975,1145787.0132769777,2,1117377.0552525795,1111439.1851390018,5,1305403.337174172,1296548.460053739
2001,680000.0,4,1087049.6722698822,1095341.5893286897,4,1093832.5419787287,1103898.5522209376,1,1054258.5396696015,1073433.863091715
2002,450000.0,1,959621.5831797547,974500.8670204383,4,942454.0610601439,961962.0738477709,3,913263.0706575335,941722.7531580686
2003,1080000.0,3,998828.4744525814,1025154.6699877477,5,1004324.0075869958,1012109.5486752796,4,993766.4020686045,993318.267498301
2004,350000.0,1,706088.0767383027,739204.9430619581,5,659140.2588576288,688736.3436106279,1,678688.9433799823,732165.1974656354
2005,490000.0,5,957464.3855224494,984100.8809570888,5,1006112.2425456675,1013756.6143709299,4,962893.6399111974,963908.3375791577
2006,680000.0,5,1009516.3189555188,1030521.1035230486,2,995511.0991595851,1003467.8514596731,5,964505.956113126,994736.6284881153
2007,390000.0,3,678402.2051905147,740064.0071482093,2,681784.5584815801,717831.707276779,2,659959.1028020121,727289.2278136314
2008,1350000.0,2,1143859.007620848,1138696.4969135711,1,1134117.4146542295,1135854.9738088294,1,1155455.1560941073,1162400.1611056426
2009,400000.0,1,704395.1734397676,737608.3448858745,5,672835.8702789256,701805.1920560962,4,706272.6043423952,717539.5957859545
2010,980000.0,3,1114519.4721057103,1124302.4212132185,4,1128744.8894074159,1136413.7581894966,5,1067069.5685912154,1086759.8811388626
2011,1200000.0,5,1205428.727864149,1202604.5388501342,4,1290266.6536382851,1285888.0344741736,2,1238535.2941376793,1234108.167553509
2012,215000.0,2,997371.0058735906,1008550.984782318,1,994471.9697818756,1010232.4406892258,1,972742.9286185539,1000954.2858042202
2013,750000.0,3,1100322.6154737454,1112226.3661466197,4,1171534.8425129126,1176161.7300471135,5,1150043.2675589668,1160399.1006729712
2014,580000.0,3,815541.2690520347,864218.4710152172,2,827222.7827324697,851793.9424205603,1,837598.7314656349,878982.4067245659
2015,1500000.0,4,2638186.9435608704,2378940.9565372295,4,2400419.113310983,2281961.474518828,3,2299657.3053039773,2150389.6982868616
2016,300000.0,4,641613.7875721847,690636.3213330011,5,634821.1112326202,665472.211450944,1,641264.1015846839,696961.9822352751
2017,420000.0,2,952518.4400993423,968276.9826827882,1,949272.4928367764,969173.9488170826,1,947315.3145278597,978184.6977593098
2018,560000.0,5,766752.8377308558,811052.0591091948,3,788902.4573303129,811449.6356492045,2,776796.7855602575,834008.3374889983
2019,489000.0,2,777489.822883796,808917.384767229,1,814827.1097828506,845746.9009048286,2,786208.7528578438,842488.3865219908
2020,1300000.0,1,1365653.1510704448,1339103.0902074953,4,1376738.661682522,1365314.910155592,1,1391010.471835182,1365699.157494485
2021,380000.0,3,707920.1617180443,767097.3822649226,4,730670.0004515264,760370.0996355594,1,713538.6650245893,764717.4076961483
2022,690000.0,4,970043.7178669042,991483.1244467103,3,1120806.814007778,1121625.6703061948,5,943994.9832151156,976190.9037243602
2023,700000.0,4,1114060.3085907795,1119113.1073100432,1,1087513.8379546825,1094127.741311782,5,1033177.4244817246,1056477.9743141194
2024,400000.0,2,981750.2463997906,994548.7821355045,4,946209.1793714755,965502.9133319095,3,964337.6741211859,988674.958690551
2025,690000.0,4,1148798.5468747932,1149579.8470610755,2,895851.411977581,914039.3942272298,3,892937.5109814425,922961.0882109998
2026,2200000.0,2,2056154.3403556095,1914115.5994265229,1,2111645.442227386,1977543.0751812672,1,2136294.00629627,1982552.943950056
2027,370000.0,4,1000920.1005181817,1019035.3117798358,5,945873.3153648991,958131.431967923,2,993400.0538174554,1025404.9870626043
2028,579000.0,1,1060628.926837047,1066429.3272944312,4,1030435.6012194152,1044650.5537708773,5,965160.6716983346,995327.7991899512
2029,265000.0,3,958097.4886038469,989825.0593906977,1,926680.328475818,948572.9024350005,3,916421.9597174269,944634.596799891
2030,300000.0,2,993188.4113349095,1004804.2473686126,2,987493.0758232034,996312.4627434139,1,969674.6728880401,998210.9487350334
2031,470000.0,3,980031.0113035914,1008878.7483422732,3,983675.5894907701,994487.8938703891,1,1057041.1605454949,1075894.7320045452
2032,900000.0,2,1043723.1928802532,1049954.5182795392,2,1063843.9156018284,1064185.8185480027,4,1063672.932466708,1059753.7138227688
2033,814000.0,5,781288.2290516323,824422.4297187998,1,828268.8068439125,858180.6490676356,3,818525.2442639021,853878.8714514604
2034,298500.0,2,759552.4018994009,792366.966011839,5,756436.6576824496,781102.1932265082,2,779525.8689517183,836468.8867978218
2035,700000.0,4,841732.719544032,875759.3484229369,3,1002477.6904264886,1011997.7987233226,2,817488.292638519,870555.4474077929
2036,1100000.0,3,1677019.8615779234,1586211.0693208028,4,1382785.849830438,1370854.9508447098,5,1542791.553048789,1500790.4796918565
