nome,familia,limite_preco,quantidade,rmspe
xgb900_corr00_multiplicativa,individual,600000,1913,0.3460054825625632
xgb900_corr00_multiplicativa,individual,740000,1413,0.24441456508018625
xgb900_corr00_multiplicativa,individual,830000,1174,0.2142160004275148
xgb900_corr00_multiplicativa,individual,950000,947,0.20334830942573925
xgb900_corr00_multiplicativa,individual,1000000,852,0.20442930985919033
xgb900_corr00_multiplicativa,individual,1300000,516,0.2381700845559816
xgb900_corr00_multiplicativa,individual,1500000,370,0.24598657370489085
xgb900_corr00_multiplicativa,individual,2000000,194,0.26096702984411524
xgb900_corr00_log_afim,individual,600000,1913,0.36873198074463975
xgb900_corr00_log_afim,individual,740000,1413,0.254314435772075
xgb900_corr00_log_afim,individual,830000,1174,0.21727211537586463
xgb900_corr00_log_afim,individual,950000,947,0.20174128916877873
xgb900_corr00_log_afim,individual,1000000,852,0.2014237902043349
xgb900_corr00_log_afim,individual,1300000,516,0.23542883012736313
xgb900_corr00_log_afim,individual,1500000,370,0.24928150437051266
xgb900_corr00_log_afim,individual,2000000,194,0.27767248113967274
xgb900_corr15_multiplicativa,individual,600000,1913,0.32946891939562684
xgb900_corr15_multiplicativa,individual,740000,1413,0.23780083148089778
xgb900_corr15_multiplicativa,individual,830000,1174,0.20995805605099235
xgb900_corr15_multiplicativa,individual,950000,947,0.19986217600649223
xgb900_corr15_multiplicativa,individual,1000000,852,0.20051625523238042
xgb900_corr15_multiplicativa,individual,1300000,516,0.23256194275310765
xgb900_corr15_multiplicativa,individual,1500000,370,0.23853397412565894
xgb900_corr15_multiplicativa,individual,2000000,194,0.24948452500934132
xgb900_corr15_log_afim,individual,600000,1913,0.3520223180312853
xgb900_corr15_log_afim,individual,740000,1413,0.24742398823007947
xgb900_corr15_log_afim,individual,830000,1174,0.2128319715928156
xgb900_corr15_log_afim,individual,950000,947,0.19826616890249676
xgb900_corr15_log_afim,individual,1000000,852,0.19756310536951224
xgb900_corr15_log_afim,individual,1300000,516,0.23002911429957373
xgb900_corr15_log_afim,individual,1500000,370,0.242094385771227
xgb900_corr15_log_afim,individual,2000000,194,0.2669228267166863
xgb900_corr30_multiplicativa,individual,600000,1913,0.31547623607132225
xgb900_corr30_multiplicativa,individual,740000,1413,0.23276438464896437
xgb900_corr30_multiplicativa,individual,830000,1174,0.20715213969833512
xgb900_corr30_multiplicativa,individual,950000,947,0.19774064702514746
xgb900_corr30_multiplicativa,individual,1000000,852,0.1979758602122694
xgb900_corr30_multiplicativa,individual,1300000,516,0.22839015345359961
xgb900_corr30_multiplicativa,individual,1500000,370,0.23275382975037268
xgb900_corr30_multiplicativa,individual,2000000,194,0.2396178925564205
xgb900_corr30_log_afim,individual,600000,1913,0.3385652960330742
xgb900_corr30_log_afim,individual,740000,1413,0.24239053838467783
xgb900_corr30_log_afim,individual,830000,1174,0.20978363959329055
xgb900_corr30_log_afim,individual,950000,947,0.19587700120264626
xgb900_corr30_log_afim,individual,1000000,852,0.19471767853762184
xgb900_corr30_log_afim,individual,1300000,516,0.2257308288083976
xgb900_corr30_log_afim,individual,1500000,370,0.23659535206427723
