Id,preco,fold,xgb_bruto,lgb_bruto,previsao_correspondencia,especialista_caros_calibrado_cf
2000,1000000.0,2,1221405.9829711914,843118.9730853295,,1129783.0495225447
2001,680000.0,4,1087883.3532333374,1109516.7668529418,,1103093.394954178
2002,450000.0,4,940591.5141105652,947364.4121090332,,960819.3773447371
2003,1080000.0,5,1015923.8576889038,1025829.8849074048,990000.0,1011598.1206504109
2004,350000.0,5,922552.6452064514,1052472.1816021102,360000.0,707775.3676246098
2005,490000.0,5,973894.8941230774,1091048.8883870412,,1014848.306303871
2006,680000.0,2,940235.0187301636,1141238.947564423,,996998.8968330221
2007,390000.0,2,939919.8293685912,1135008.1478942963,370000.0,691832.4265856643
2008,1350000.0,1,1178714.5137786863,1140606.570250586,1100000.0,1127164.8035794431
2009,400000.0,5,957700.252532959,1023051.118078022,370000.0,718931.6491661746
2010,980000.0,4,1136562.9434585571,1108133.6559998612,,1135694.8190395045
2011,1200000.0,4,1369103.7893295288,1410665.6727733165,1200000.0,1290954.5028246783
2012,215000.0,1,957697.9279518127,1091421.7164247683,,1017418.9062203646
2013,750000.0,4,1112213.373184204,1327927.8071067806,,1175552.4049866148
2014,580000.0,2,1021456.5992355348,1032325.5673424614,630000.0,835389.7111958432
2015,1500000.0,4,2485305.070877075,2176628.861545831,,2285825.7103178366
2016,300000.0,5,965917.468070984,981280.211322826,299500.0,682870.8727622626
2017,420000.0,1,880232.6917648315,1131286.513844631,,981921.2902262103
2018,560000.0,3,990398.7050056458,1162784.9219328458,540000.0,798418.2898361313
2019,489000.0,1,1030909.0614318848,1026346.0001003084,600000.0,806635.3719056083
2020,1300000.0,4,1370711.9226455688,1392627.3373253983,,1365286.373110722
2021,380000.0,4,1006660.6998443604,1038221.794603242,446000.0,774539.3881108657
2022,690000.0,3,1091040.4920578003,1199281.6627849918,,1122239.0628151204
2023,700000.0,1,1066949.725151062,1141728.3171642274,,1098141.435653448
2024,400000.0,4,916977.7035713196,1023273.97920825,,964367.82598676
2025,690000.0,2,1071943.0446624756,1125614.9693631527,705000.0,898667.5967326382
2026,2200000.0,1,1720818.042755127,1729810.1943901975,2500000.0,2037334.3183485041
2027,370000.0,5,929286.777973175,989601.459397626,,957751.072102022
2028,579000.0,4,1042655.58719635,998219.2745529504,,1043696.5954509678
2029,265000.0,1,880031.1088562012,1049664.6347457168,,957764.189780178
2030,300000.0,2,944651.0076522828,1100440.3464556308,,991883.3777353585
2031,470000.0,3,981807.4703216552,988600.6309366184,,995587.7614119578
2032,900000.0,2,1050498.7239837646,1099026.6935039964,,1064155.8096354832
2033,814000.0,1,933506.8464279176,1026346.0001003084,697500.0,842732.7596921413
2034,298500.0,5,929286.777973175,989601.459397626,567000.0,791591.0409244925
2035,700000.0,3,998142.3020362854,1013907.3507279336,,1013034.9281444788
2036,1100000.0,4,1357581.9730758667,1449232.4340015796,,1370844.8093712036
2037,700000.0,4,1058594.9420928955,1074861.9857420537,,1074302.6526386947
2038,635000.0,4,962897.1815109252,1037068.7713743777,615000.0,835680.8839328627
2039,160000.0,4,1007008.43334198,1035146.6075673448,,1028956.7728479828
2040,480000.0,4,1034831.0470581056,1008951.3514974138,485000.0,797400.5207967251
2041,350000.0,3,961377.6206970216,1024122.56547723,,990903.4168474451
2042,950000.0,5,1036709.3086242676,994583.1694421852,950000.0,995742.4324585622
2043,440000.0,1,925036.6687774658,1054259.851843696,,986631.7419574193
2044,790000.0,2,963529.646396637,1080603.8945154587,800000.0,910407.9929453518
2045,860000.0,1,999889.8506164552,1017799.1280202036,,1021516.8552880953
2046,370000.0,4,975812.6139640808,936106.575940174,386500.0,720416.6335035285
2047,460000.0,5,895800.3520965576,993488.1132515768,340000.0,679704.725347259
2048,300000.0,2,904595.911502838,1094976.9639183185,,963140.1645116323
2049,1200000.0,3,1170902.132987976,1085197.8461645572,1200000.0,1169751.2160239308
2050,169000.0,4,963916.9573783876,934309.282058142,,973402.3979116839
2051,1600000.0,1,1510717.511177063,1538404.0432282651,,1472670.1936333058
2052,330000.0,2,935268.1636810304,1098273.089169301,,984983.174354448
2053,530000.0,4,954766.3927078248,1041864.458204628,,995045.3179451688
2054,1200000.0,4,1214504.361152649,1242887.5855044764,,1222710.4173028045
2055,450000.0,5,900909.6026420592,1077106.7055015229,,963679.7300209027
2056,435000.0,2,951382.7562332152,1002028.5457188352,450000.0,719791.0571643446
2057,320000.0,3,866914.2127037048,1003849.6213219176,,921875.7004137123
2058,450000.0,2,931894.7792053224,1118465.3941745197,,986699.1237622569
2059,580000.0,3,1193074.2263793943,1251648.7360728965,,1203175.0471872413
2060,420000.0,5,891346.5738296509,999762.8243362964,353229.0,685242.9637637214
2061,1750000.0,1,1624684.6914291382,1603564.754203579,,1556602.9351335133
2062,390000.0,4,943309.247493744,956688.259212694,369391.065,704479.5956720344
2063,220000.0,2,965487.9570007324,1051825.3663942134,,996513.0035475972
2064,900000.0,5,991009.1161727904,1004951.749717387,925000.0,971773.3943927987
2065,200000.0,3,919185.757637024,1014487.9514572808,,959979.0526535329
2066,314000.0,5,844116.1513328552,1016108.8306449428,,909673.5941698229
2067,700000.0,2,1041894.6743011476,1025644.0653732832,,1043726.1050591096
2068,607000.0,5,982786.238193512,1019452.8339271152,550000.0,806788.552735161
2069,225000.0,1,936982.3336601256,1063702.8026303444,,996688.8605205718
2070,395000.0,1,1002333.0450057985,1062828.25968076,350000.0,666474.9880748742
2071,1000000.0,4,1076279.878616333,1148331.057014283,715000.0,937177.796610583
2072,1400000.0,3,1415535.0923538208,1461729.5533109682,,1401767.929547879
2073,1200000.0,1,1341363.0723953247,1369939.0466810698,1250000.0,1275280.9806899114
2074,220000.0,5,932675.7192611694,1034377.706549318,,972414.8315380019
2075,350000.0,2,961771.547794342,1077760.5397083964,369550.0,690707.0220261441
2076,550000.0,2,911060.392856598,1052319.420768696,,959044.2394074431
2077,270000.0,5,870137.0358467102,1002395.0351629248,270000.0,641052.2565341553
2078,380000.0,3,931966.8412208556,990780.7992286636,450000.0,708548.4642120894
2079,1100000.0,1,1012332.320213318,1032649.6997583832,1225000.0,1145424.2976917936
2080,750000.0,1,1043240.5471801758,1013355.7568921524,,1046513.0832184998
2081,450000.0,4,983258.843421936,1011985.8070109928,,1006764.9841302172
2082,1350000.0,2,1212323.9040374756,1226529.8618617654,1250000.0,1215634.7692317355
2083,220000.0,4,1002123.236656189,966382.55294207,,1007834.4359879027
2084,470000.0,1,835934.7581863403,1061020.552456326,348500.0,633134.3606510807
2085,1003680.0,3,1017508.029937744,1037555.1641822364,1003680.0,1023046.1279419229
2086,460000.0,3,912069.2014694214,1011879.7663420172,399000.0,679690.0818376907
2087,820000.0,3,967655.062675476,970612.7095221978,,981456.3581698602
2088,175000.0,2,938445.6276893616,1065576.661568401,,980627.4506618093
2089,350000.0,4,991548.0017662048,1035577.0811221844,,1018527.3979479704
2090,520000.0,1,994184.911251068,1040194.6139451124,490000.0,740397.59827655
2091,450000.0,3,874185.6813430786,1065256.2885639954,440000.0,699046.320394053
2092,380000.0,5,955411.2553596497,1023051.118078022,340000.0,704727.4001558836
2093,480000.0,1,923889.935016632,1093773.7593202998,,997533.5864374083
2094,440000.0,4,923326.7307281494,934723.3579717416,330000.0,675882.7312698603
2095,380000.0,1,903284.1324806212,1147880.1734096904,340000.0,657437.1928475713
2096,3500000.0,1,3204247.47467041,3305775.453440786,,2878041.2264216337
2097,900000.0,4,1144188.2848739624,1248746.6559494475,,1176861.1544684237
2098,1000000.0,5,1289409.3990325928,1389089.995321711,,1298178.216583111
2099,240000.0,1,864348.828792572,1036491.0189147634,240000.0,571095.1090175397
2100,620000.0,1,976546.4067459106,1094053.8496796654,,1029635.8908314336
2101,850000.0,4,936913.7287139893,1022922.618925898,865000.0,936858.0796893882
2102,850000.0,2,1033307.4331283568,1085236.6124224712,,1049683.9428713317
2103,270000.0,2,956212.8186225892,1004654.9685839554,300000.0,643562.9089447965
2104,1000000.0,3,1230919.7187423706,1287009.7092423444,,1237061.443266581
