Id,xgb_caro_bruto,lightgbm_caro_bruto,preco_correspondencia,tem_correspondencia,xgb_caro_corr50,lightgbm_caro_corr50,especialista_caro_blend_bruto,especialista_caro
0,1680322.6470947266,1641697.9896856307,,0,1680322.6470947266,1641697.9896856307,1669700.8663072253,1609832.024127254
1,922670.0067520142,1022761.4261974571,,0,922670.0067520142,1022761.4261974571,950195.147099511,965655.9028030542
2,957354.724407196,992104.1901686793,,0,957354.724407196,992104.1901686793,966910.827491604,981044.2785700094
3,943430.7813644409,1001548.4266520274,195000.0,1,569215.3906822205,598274.2133260136,577206.5669092636,614555.4823421823
4,930045.6047058105,1030657.1058187454,,0,930045.6047058105,1030657.1058187454,957713.7675118677,972580.6115011594
5,909844.9945449829,1127828.611555911,,0,909844.9945449829,1127828.611555911,969790.4892229881,983692.7612225335
6,923114.2997741699,995696.786665466,,0,923114.2997741699,995696.786665466,943074.4836692763,959092.9958163763
7,975306.6897392273,1168711.7927196212,,0,975306.6897392273,1168711.7927196212,1028493.0930588357,1037525.8887635686
8,995816.5287971497,1003130.0205958786,330000.0,1,662908.2643985748,666565.0102979393,663913.8695209001,697693.109093583
9,1221329.689025879,1287317.4049274966,,0,1221329.689025879,1287317.4049274966,1239476.3108988237,1228758.7727365824
10,942477.4050712585,932852.952677816,540000.0,1,741238.7025356293,736426.4763389081,739915.3403315309,769729.568545107
11,1033921.0033416748,1116820.8676865054,,0,1033921.0033416748,1116820.8676865054,1056718.4660365032,1063306.8788190917
12,1048630.8336257935,955026.3650403796,1100000.0,1,1074315.4168128967,1027513.1825201898,1061444.8023824024,1067617.5727990733
13,946937.620639801,1000459.7843745867,365000.0,1,655968.8103199005,682729.8921872934,663328.1078334335,697135.0176737263
14,1099404.0966033936,1431450.6811331958,,0,1099404.0966033936,1431450.6811331958,1190716.9073490892,1184854.2337484064
15,964006.9007873535,1087868.6050533776,,0,964006.9007873535,1087868.6050533776,998068.8694605101,1009662.302445645
16,999836.4448547363,1003130.0205958786,448000.0,1,723918.2224273682,725565.0102979393,724371.0890917752,755054.8788316593
17,910699.5463371277,1007740.1601258238,400000.0,1,655349.7731685638,703870.0800629118,668692.8575645096,702244.6325708365
18,948769.748210907,1077930.550861714,,0,948769.748210907,1077930.550861714,984288.968939879,997016.1943569246
19,788981.3780784607,851448.206971578,,0,788981.3780784607,851448.206971578,806159.756024068,831953.3477390256
20,1063001.7518997192,1017072.6435135049,,0,1063001.7518997192,1017072.6435135049,1050371.2470935103,1057515.0101853092
21,1025083.1842422485,999836.3819368182,,0,1025083.1842422485,999836.3819368182,1018140.3136082552,1028053.2012709462
22,934339.9405479431,1044698.0800195232,360000.0,1,647169.9702739716,702349.0400097616,662344.2144513138,696197.4979200328
23,926160.8123779297,978877.106394471,,0,926160.8123779297,978877.106394471,940657.7932324786,956864.5525424461
24,940268.3973312378,1111186.8416411849,,0,940268.3973312378,1111186.8416411849,987270.9695164732,999754.2341158452
25,987534.5230102539,1016597.9070768643,,0,987534.5230102539,1016597.9070768643,995526.9536285717,1007330.7654247194
26,1034222.7220535278,998918.6904894041,512500.0,1,773361.3610267639,755709.3452447021,768507.056686697,796647.1816702519
27,948256.1349868774,1071641.6493777714,535000.0,1,741628.0674934387,803320.8246888857,758593.5757221866,787324.9275273138
28,897748.6491203308,955644.3977372269,,0,897748.6491203308,955644.3977372269,913669.9799899773,931942.258937831
29,1067941.0696029663,1190442.2045380096,890000.0,1,978970.5348014832,1040221.1022690048,995814.4408550516,1007594.4869560584
30,924927.6518821716,1049642.8080492052,350000.0,1,637463.8259410858,699821.4040246026,654612.1599140529,688825.3315017652
31,1418559.7896575928,1266589.080158702,,0,1418559.7896575928,1266589.080158702,1376767.844545398,1351536.5503284822
32,1807789.921760559,1558787.528446577,,0,1807789.921760559,1558787.528446577,1739314.2635992141,1670563.6223780524
33,1464756.0119628906,1404882.9822739717,,0,1464756.0119628906,1404882.9822739717,1448290.928798438,1415039.1732724232
34,1170544.6243286133,1142357.3861868049,1200000.0,1,1185272.3121643066,1171178.6930934023,1181396.566919808,1176442.9711857415
35,914433.9561462402,1113496.2544911643,260000.0,1,587216.9780731201,686748.1272455822,614588.0440955472,650531.6270248125
36,955256.5217018127,1033411.8331161868,482500.0,1,718878.2608509064,757955.9165580934,729624.6161703828,760017.7779402236
37,2792450.9048461914,2781000.240487818,2900000.0,1,2846225.4524230957,2840500.120243909,2844650.9860738195,2609504.896004065
38,929803.8482666016,979475.0036382241,442500.0,1,686151.9241333008,710987.5018191121,692981.7079968989,725330.9542969158
39,928885.4598999023,1000679.1247679465,314000.0,1,621442.7299499512,657339.5623839733,631314.3588693072,666562.2875166894
40,2252425.6706237793,2337235.1585475057,,0,2252425.6706237793,2337235.1585475057,2275748.279802804,2131594.714211747
41,987796.6642379761,1026983.1362363024,,0,987796.6642379761,1026983.1362363024,998572.9440375159,1010124.5919157618
42,948687.6726150513,1021138.6890829222,,0,948687.6726150513,1021138.6890829222,968611.7021437158,982608.6960272874
43,1304787.7550125122,1328926.5410553578,1200000.0,1,1252393.877506256,1264463.270527679,1255712.9605871474,1243342.6880799718
44,975978.8513183594,932208.6908850974,,0,975978.8513183594,932208.6908850974,963942.0571992124,978313.0695579948
45,995878.5772323608,1020261.0487680715,,0,995878.5772323608,1020261.0487680715,1002583.7569046812,1013802.1539948031
46,1745415.6875610352,1290105.0620237507,,0,1745415.6875610352,1290105.0620237507,1620205.265538282,1566507.9056755535
47,886716.1273956299,1102321.4486965234,730000.0,1,808358.0636978149,916160.7243482617,838003.7953766878,861692.5439916274
48,922357.976436615,1027050.5547008757,,0,922357.976436615,1027050.5547008757,951148.4354592867,966534.1714010367
49,926242.8879737854,981336.5202579506,,0,926242.8879737854,981336.5202579506,941393.6368519309,957543.1344702824
50,1030203.3424377441,998918.6904894041,580000.0,1,805101.6712188721,789459.3452447021,800800.0315759754,826937.2119888274
51,995816.5287971497,1003130.0205958786,360000.0,1,677908.2643985748,681565.0102979393,678913.8695209001,711968.9923422224
52,1025294.303894043,1122396.415199996,900000.0,1,962647.1519470215,1011198.207599998,975998.6922515901,989400.0746746016
