nome,familia,limite_preco,quantidade,rmspe_bruto,rmspe_calibrado_cf
baseline_atual_21_19,baseline,600000,1913,0.2330496685100363,0.2349399257749706
baseline_atual_21_19,baseline,740000,1413,0.2429720241291478,0.23680099278945813
baseline_atual_21_19,baseline,830000,1174,0.2502881852655041,0.2347939339212344
baseline_atual_21_19,baseline,950000,947,0.26032108860018205,0.2332368397600302
baseline_atual_21_19,baseline,1000000,852,0.26747879662279,0.23298766162701948
baseline_atual_21_19,baseline,1300000,516,0.3005737899191134,0.25357951456734307
baseline_atual_21_19,baseline,1500000,370,0.3218605682273497,0.2663893760215457
baseline_atual_21_19,baseline,2000000,194,0.3390738711323796,0.27770379533799605
baseline_arvores_corr30,baseline,600000,1913,0.22462293743530487,0.22908136353076386
baseline_arvores_corr30,baseline,740000,1413,0.23286656489540725,0.23183860455652766
baseline_arvores_corr30,baseline,830000,1174,0.23730896220007006,0.22948363704120003
baseline_arvores_corr30,baseline,950000,947,0.24446087435054198,0.22875282442116596
baseline_arvores_corr30,baseline,1000000,852,0.24998558683131797,0.2288188605330607
baseline_arvores_corr30,baseline,1300000,516,0.27824118840781303,0.24611069249401682
baseline_arvores_corr30,baseline,1500000,370,0.29723908044496117,0.25714301788404953
baseline_arvores_corr30,baseline,2000000,194,0.3153256559061803,0.2707471768249215
baseline_xgb_alpha150,baseline,600000,1913,0.2364754824530816,0.24102666693993063
baseline_xgb_alpha150,baseline,740000,1413,0.24691521969662966,0.2447464620118419
baseline_xgb_alpha150,baseline,830000,1174,0.2527077911399229,0.24293698998552213
baseline_xgb_alpha150,baseline,950000,947,0.2622399177118749,0.24321030605790642
baseline_xgb_alpha150,baseline,1000000,852,0.26914743913697753,0.24406148548480772
baseline_xgb_alpha150,baseline,1300000,516,0.30382833814514587,0.2659574702105111
baseline_xgb_alpha150,baseline,1500000,370,0.3273008485790359,0.2796245157623576
baseline_xgb_alpha150,baseline,2000000,194,0.35356402652764435,0.30317175895712906
baseline_lgb_alpha150,baseline,600000,1913,0.2387207247673332,0.24241710625499535
baseline_lgb_alpha150,baseline,740000,1413,0.248514506383818,0.24710333176282634
baseline_lgb_alpha150,baseline,830000,1174,0.2542651089407499,0.24661252815656295
baseline_lgb_alpha150,baseline,950000,947,0.2628901056402014,0.24776289545686403
baseline_lgb_alpha150,baseline,1000000,852,0.26938415819696293,0.2491970440894909
baseline_lgb_alpha150,baseline,1300000,516,0.30164724918140945,0.27114059608121954
baseline_lgb_alpha150,baseline,1500000,370,0.32537418487807107,0.28738598020309003
baseline_lgb_alpha150,baseline,2000000,194,0.3496872885629356,0.3079521293452223
xgb_log_all_bm05,xgb,600000,1913,0.22769493238568914,0.23165241248877513
xgb_log_all_bm05,xgb,740000,1413,0.2313089404582223,0.23401334369493257
xgb_log_all_bm05,xgb,830000,1174,0.2327952213450863,0.2339420609063937
xgb_log_all_bm05,xgb,950000,947,0.23752950642998943,0.2369847005255215
xgb_log_all_bm05,xgb,1000000,852,0.24072035253762694,0.23839581960084652
xgb_log_all_bm05,xgb,1300000,516,0.26620680799228263,0.26151444521145967
xgb_log_all_bm05,xgb,1500000,370,0.2705484693637369,0.26146806173094095
xgb_log_all_bm05,xgb,2000000,194,0.2715149639789959,0.2608107545624575
lgb_log_all_bm05,lgb,600000,1913,0.22764044560361046,0.23164889997840826
lgb_log_all_bm05,lgb,740000,1413,0.23063878723190806,0.23328669521552187
lgb_log_all_bm05,lgb,830000,1174,0.23325845778483745,0.23426427123337631
lgb_log_all_bm05,lgb,950000,947,0.23743725906530955,0.23647880423025466
lgb_log_all_bm05,lgb,1000000,852,0.24054792656184767,0.23792400028289867
lgb_log_all_bm05,lgb,1300000,516,0.26389130206267836,0.2584895345408274
lgb_log_all_bm05,lgb,1500000,370,0.2686123689889607,0.2592947236145259
lgb_log_all_bm05,lgb,2000000,194,0.2695751323550448,0.25847444871309466
blend50_log_all_bm05,blend50,600000,1913,0.2261969130383034,0.2302508496640405
blend50_log_all_bm05,blend50,740000,1413,0.22939788616515713,0.23208354356308283
blend50_log_all_bm05,blend50,830000,1174,0.23141769757586333,0.2324343771787895
blend50_log_all_bm05,blend50,950000,947,0.23572654940223395,0.23482160242485567
blend50_log_all_bm05,blend50,1000000,852,0.23884608054283618,0.23614757370255973
blend50_log_all_bm05,blend50,1300000,516,0.2630282680189505,0.2576263628709917
blend50_log_all_bm05,blend50,1500000,370,0.2676171071629598,0.2579099750529364
blend50_log_all_bm05,blend50,2000000,194,0.26860621607830665,0.2571580747771626
xgb_log_all_b000,xgb,600000,1913,0.23183612437547244,0.23381096542017046
xgb_log_all_b000,xgb,740000,1413,0.23302704289189718,0.23487635109718605
