Id,preco,fold,ref_xgb_thr900_bruto,ref_xgb_thr900_calibrado_cf,ref_xgb_te950_bruto,ref_xgb_te950_calibrado_cf,ref_xgb_feat_te950_bruto,ref_xgb_feat_te950_calibrado_cf,ref_lgb31_950_bruto,ref_lgb31_950_calibrado_cf,xgb_thr850_bruto,xgb_thr850_calibrado_cf,xgb_thr875_bruto,xgb_thr875_calibrado_cf,xgb_thr925_bruto,xgb_thr925_calibrado_cf,xgb900_d3_mc3_i1000_bruto,xgb900_d3_mc3_i1000_calibrado_cf,xgb900_d4_mc3_i1000_bruto,xgb900_d4_mc3_i1000_calibrado_cf,xgb900_d4_mc10_i1000_bruto,xgb900_d4_mc10_i1000_calibrado_cf,xgb900_d5_mc5_i1000_bruto,xgb900_d5_mc5_i1000_calibrado_cf,xgb900_i1200_bruto,xgb900_i1200_calibrado_cf,xgb900_features_caras_bruto,xgb900_features_caras_calibrado_cf,xgb900_target_encoding_bruto,xgb900_target_encoding_calibrado_cf,xgb900_features_caras_te_bruto,xgb900_features_caras_te_calibrado_cf,lgb900_l31_d7_mc40_i600_bruto,lgb900_l31_d7_mc40_i600_calibrado_cf,lgb900_l63_d8_mc40_i800_bruto,lgb900_l63_d8_mc40_i800_calibrado_cf,lgb900_features_caras_te_bruto,lgb900_features_caras_te_calibrado_cf
2000,1000000.0,2,1221405.9829711914,1184167.15063099,1105505.2280426023,1050892.1664530854,1109606.5044403076,1053909.7688701584,843118.9730853295,804222.9532603101,1184072.1368789673,1169592.8567126596,1226855.1588058472,1197729.377505922,1303579.8072814941,1244616.711337367,1218762.1593475342,1186481.990611811,1164524.0783691406,1117424.982716669,1014760.8518600464,988379.9761113607,1146499.3953704834,1096470.145306922,1204459.1903686523,1157040.79577953,1361184.5970153809,1315429.8625006168,1169739.4847869873,1130651.0457259328,1170214.6530151367,1126469.2408968566,848081.412751229,823787.320141194,822748.2372778251,795484.1753674893,1046095.8207299707,1007700.3599414728
2001,680000.0,4,1087883.3532333374,1081159.3117316854,1092784.762382507,1069001.5995076532,1077588.2005691528,1045772.9797275892,1109516.7668529418,1084445.1674178767,1029810.905456543,1037981.6752059865,1003982.1863174438,1001380.5315317321,1077051.7587661743,1056270.3474323587,1060521.3642120361,1057488.0351192316,1107416.9874191284,1090571.2857748368,1109936.4757537842,1106944.7065454705,1141956.6869735718,1121863.3856898984,1121945.5003738403,1106960.3327571922,1033859.2529296875,1016449.1402971806,1026847.243309021,1020559.4363392247,1044317.364692688,1027815.6179885261,1059440.3142804755,1050743.4610909487,1061569.6962971375,1048938.2743023336,945732.6385982339,928638.1791388916
2002,450000.0,4,940591.5141105652,934777.8610583481,1018175.721168518,996016.3354913441,1031475.54397583,1001021.77489509,947364.4121090332,925956.9473739086,865985.6915473938,872856.6322749145,987688.8990402222,985129.4656299466,912730.6342124939,895119.7528484701,1018186.4500045776,1015274.2082667669,1015529.6325683594,1000081.6943521932,855994.1649436951,853686.8824630148,961780.4288864136,944857.4193302704,932810.2469444275,920351.2479107566,984195.4708099365,967621.6925604813,1010392.7850723267,1004205.7355013149,1027968.7643051147,1011725.349475615,885082.6136641025,877817.047640341,866815.7929340573,856501.7117102786,939490.1262038782,922508.5024136188
2003,1080000.0,5,1015923.8576889038,996252.1861108046,1066418.8861846924,1024230.207670849,1077130.5561065674,1031508.5699594944,1025829.8849074048,994332.7687017,1013032.1979522705,1012809.9002818358,1005112.4095916748,991035.70100388,1048705.3394317627,1013978.5511922457,1038468.7185287476,1021566.3874480552,1006380.3195953369,976527.1519770622,1014967.0839309692,1001291.4152720437,994970.6196784973,963097.610178361,1008480.3104400635,980368.9668917628,1028367.8770065308,1001299.4170940294,1027959.7043991089,1006044.7040170475,1029529.0946960449,1000731.5356524375,984628.9952544001,970670.1207088074,979431.1061301057,961087.0177929178,1040068.6753696298,1017290.2333149165
2004,350000.0,5,922552.6452064514,904688.9514732491,1015359.1632843018,975190.462344334,1030243.3967590332,986607.3215325089,1052472.1816021102,1020157.039398795,850312.5309944153,850125.9401879596,909693.4199333191,896953.064671127,980994.8205947876,948510.1958694885,905325.710773468,890590.4427520724,892822.9808807373,866338.3670794681,896835.446357727,884751.4836360334,900438.9643669128,871594.1933777622,919487.9531860352,893857.2676159248,888235.6882095337,864855.7551556737,921274.1255760193,901633.5475187466,898061.990737915,872941.7747708955,937368.385904311,924079.514903247,950970.5908190699,933159.548863317,937598.274008793,917064.0261645165
2005,490000.0,5,973894.8941230774,955037.0433463871,1106260.2996826172,1062495.4519848102,1077933.3114624023,1032277.3245217247,1091048.8883870412,1057549.285646638,928317.7852630615,928114.0771464743,935874.342918396,922767.3209830006,1078455.090522766,1042743.1701708529,950282.1564674377,934815.1680621993,972753.3459663391,943897.6856131562,956556.9162368774,943668.2663023453,974713.2658958435,943489.1829235787,982279.4198989868,954898.4250026596,929708.6596488953,905237.084693378,1012346.2677001953,990764.1290730818,910976.4695167542,885495.0151281427,929117.8991560956,915945.9935399771,905098.4639217302,888146.5761655455,979411.1643155835,957961.17646149
2006,680000.0,2,940235.0187301636,911568.666418948,1135442.3761367798,1079350.3895533246,1113308.9065551758,1057426.3287871475,1141238.947564423,1088589.6131921818,917056.7989349365,905842.6829139347,925249.0401268005,903283.4470433193,1198484.5399856567,1144275.0788356748,924028.3966064453,899554.5545772309,909412.2648239136,872631.148791983,959850.6689071655,934897.3006457486,935555.2196502686,894730.8404825599,946267.2472000122,909013.6199511228,939672.8873252869,908086.8088576326,943878.5314559937,912337.5439646004,942872.4050521851,907625.587874082,1037575.4598773739,1007853.131415549,1018299.0857358654,984554.9000192255,951627.4498273473,916699.3163705023
2007,390000.0,2,939919.8293685912,911263.0867072011,1007627.248764038,957849.4570357611,1028350.830078125,976732.7257979099,1135008.1478942963,1082646.2620497618,854605.6747436523,844155.2345965293,924450.9935379028,902504.346236447,1042505.5027008057,995351.2344046305,997425.4965782166,971007.6569005438,987316.2508010864,947384.3134547644,937634.1700553894,913258.3671333382,964212.8944396973,922137.9939162253,933090.1503562927,896355.2926785694,933378.9348602295,902004.4207349272,988400.1016616821,955371.3652257413,919072.687625885,884715.5605951662,941836.9913787352,914857.1817188535,946371.0017282718,915010.3540693534,1037579.4753184209,999496.5948880801
2008,1350000.0,1,1178714.5137786863,1152081.3328737584,1147647.261619568,1099579.1015862154,1136382.818222046,1081129.081545099,1140606.570250586,1100245.8074964571,1130828.857421875,1123956.6652045054,1178898.6921310425,1158271.843534186,1174573.6598968506,1131692.2737538212,1185777.3065567017,1163202.5970675766,1161414.1464233398,1124744.7278026268,1171557.068824768,1149908.0105024509,1151324.0337371826,1110593.4697610924,1161407.709121704,1125399.2513712395,1174943.0894851685,1137809.9396007864,1123401.403427124,1093450.2307030703,1142737.1501922607,1104494.9646138183,1139592.6854800656,1117060.0520200701,1136885.988328321,1110824.3567328271,1120688.0971077832,1087809.1805095717
2009,400000.0,5,957700.252532959,939155.9839881207,1005297.5416183472,965526.8892569371,981271.5649604796,939709.6971912076,1023051.118078022,991639.321224991,967155.8737754822,966943.6431098408,964399.4569778442,950892.937718352,989335.0601196289,956574.2570237659,963695.1088905334,948009.8085047994,953229.4869422913,924952.9804384551,938580.7514190674,925934.3123677241,975775.3014564514,944517.1971082351,963983.8933944702,937112.8854811719,959092.5574302673,933847.5463562636,948419.0940856934,928199.8143607241,947696.328163147,921187.7611820986,928123.57518932,914965.7658912835,927686.9555011173,910312.0004333651,920617.3746751781,900455.0238418082
