Id,rank_preco_pipeline,selecionado_top05,pipeline_atual_21_19,especialista_caro,diferenca_especialista_pipeline,previsao_w050,previsao_w100
0,163,0,1273952.9229872015,1609832.024127254,335879.10114005255,1273952.9229872015,1273952.9229872015
1,1915,0,229525.7180908985,965655.9028030542,736130.1847121557,229525.7180908985,229525.7180908985
2,823,0,580826.3804086919,981044.2785700094,400217.89816131745,580826.3804086919,580826.3804086919
3,1949,0,201137.9130836265,614555.4823421823,413417.56925855577,201137.9130836265,201137.9130836265
4,1768,0,287982.9458110522,972580.6115011594,684597.6656901072,287982.9458110522,287982.9458110522
5,1932,0,216813.36581756297,983692.7612225336,766879.3954049707,216813.36581756297,216813.36581756297
6,627,0,726889.5107048269,959092.9958163764,232203.4851115495,726889.5107048269,726889.5107048269
7,1805,0,271560.9263131612,1037525.8887635686,765964.9624504074,271560.9263131612,271560.9263131612
8,1674,0,319007.48867669486,697693.109093583,378685.6204168881,319007.48867669486,319007.48867669486
9,597,0,755603.4548969428,1228758.7727365824,473155.3178396396,755603.4548969428,755603.4548969428
10,770,0,606017.8496103812,769729.568545107,163711.71893472585,606017.8496103812,606017.8496103812
11,1019,0,515532.6886217343,1063306.8788190917,547774.1901973574,515532.6886217343,515532.6886217343
12,313,0,1034600.6626618754,1067617.5727990733,33016.910137197934,1034600.6626618754,1034600.6626618754
13,1581,0,343512.7383650523,697135.0176737263,353622.279308674,343512.7383650523,343512.7383650523
14,600,0,747032.0784454901,1184854.2337484064,437822.1553029163,747032.0784454901,747032.0784454901
15,841,0,573157.6193304699,1009662.302445645,436504.6831151751,573157.6193304699,573157.6193304699
16,1361,0,385724.1561939559,755054.8788316593,369330.7226377034,385724.1561939559,385724.1561939559
17,1594,0,341441.7905228475,702244.6325708365,360802.84204798896,341441.7905228475,341441.7905228475
18,1633,0,331647.07623147184,997016.1943569246,665369.1181254528,331647.07623147184,331647.07623147184
19,430,0,897727.3969880408,831953.3477390256,-65774.04924901517,897727.3969880408,897727.3969880408
20,610,0,741619.7891773703,1057515.0101853092,315895.22100793896,741619.7891773703,741619.7891773703
21,1788,0,279610.6613244468,1028053.2012709462,748442.5399464994,279610.6613244468,279610.6613244468
22,1667,0,321740.38078977604,696197.4979200328,374457.1171302568,321740.38078977604,321740.38078977604
23,1613,0,337735.8399863006,956864.552542446,619128.7125561454,337735.8399863006,337735.8399863006
24,1751,0,293627.12146647496,999754.2341158452,706127.1126493702,293627.12146647496,293627.12146647496
25,1558,0,348649.4449618537,1007330.7654247194,658681.3204628658,348649.4449618537,348649.4449618537
26,1187,0,432970.0158021306,796647.1816702519,363677.16586812126,432970.0158021306,432970.0158021306
27,884,0,556766.3563386935,787324.9275273138,230558.5711886203,556766.3563386935,556766.3563386935
28,633,0,721181.8745839116,931942.258937831,210760.38435391942,721181.8745839116,721181.8745839116
29,477,0,859159.1148028325,1007594.4869560584,148435.37215322594,859159.1148028325,859159.1148028325
30,1526,0,354482.4759418309,688825.3315017652,334342.8555599343,354482.4759418309,354482.4759418309
31,132,0,1322777.8881523826,1351536.5503284822,28758.662176099606,1322777.8881523826,1322777.8881523826
