Id,preco,fold,xgboost_alpha150_bruto,lightgbm_alpha150_bruto,blend_arvores_alpha150_corr30,catboost_alpha150_corr30,generalista_cat60_arvores40
2000,1000000.0,2,1213127.125,1219988.6736976595,1216557.8993488299,1095918.521902345,1144174.2728809388
2001,680000.0,4,969414.5,965650.7618168973,967532.6309084487,976264.5398215272,972771.7762562959
2002,450000.0,4,396562.1875,368032.00690063916,382297.0972003196,302373.4996193184,334342.9386517189
2003,1080000.0,5,1004771.3125,991513.656943106,995699.7393050871,975424.8310781927,983534.7943689504
2004,350000.0,5,363653.96875,353195.9629319288,358897.4760886751,358584.58424428507,358709.7409820411
2005,490000.0,5,373635.78125,369803.750243939,371719.7657469695,361595.4260347352,365645.16191962897
2006,680000.0,2,691287.75,750363.3756120647,720825.5628060324,622098.6648975768,661589.424060959
2007,390000.0,2,442207.375,452711.22858071607,424221.5112532506,403343.7504140949,411694.8547497572
2008,1350000.0,1,1184383.25,1205074.3863295394,1166310.1727153386,1145665.9350415966,1153923.6301110934
2009,400000.0,5,349027.1875,357618.4571123694,358325.9756143292,357004.99450033426,357533.38694593223
2010,980000.0,4,781754.125,761004.8136679842,771379.4693339921,791819.1624912816,783643.2852283658
2011,1200000.0,4,1190970.75,1187113.2270994873,1192329.3919848206,1137205.4652974296,1159255.035972386
2012,215000.0,1,270588.4375,268667.7012004565,269628.06935022824,264211.5222291902,266378.1410776054
2013,750000.0,4,580816.0,592319.9024720921,586567.951236046,533801.3515566502,554907.9914284085
2014,580000.0,2,484845.21875,472034.0481777042,523907.74342469644,547735.5143629649,538204.4059876575
2015,1500000.0,4,1668938.125,1951066.8496519155,1810002.4873259577,2224776.0442492957,2058866.6214799606
2016,300000.0,5,311836.375,319452.0047212077,310800.93290242273,297059.7700972438,302556.23521931533
2017,420000.0,1,361754.96875,352156.97978514835,356955.97426757414,383556.55569988384,372916.32312695996
2018,560000.0,3,526909.8125,507137.29174237803,523916.4864848323,565223.4012297179,548700.6353317637
2019,489000.0,1,492348.03125,489028.9627033378,523481.9478836682,526395.214858932,525229.9080688264
2020,1300000.0,4,1318996.375,1478279.879382864,1398638.127191432,1311117.112348884,1346125.5182859031
2021,380000.0,4,401161.75,396747.979556397,413068.405344739,414594.9489824558,413984.3315273691
2022,690000.0,3,1001380.125,1020084.8615771552,1010732.4932885775,925354.4890885206,959505.6907685434
2023,700000.0,1,720476.1875,683625.7006111307,702050.9440555654,773184.2905498256,744730.9519521216
2024,400000.0,4,370102.84375,372962.1416463819,371532.49269819097,384519.49592460913,379324.69463404187
2025,690000.0,2,810991.625,796086.2251958337,773977.2475685418,761217.4632165808,766321.3769573652
2026,2200000.0,1,1253726.5,1265566.8179978738,1631752.6612992557,1752328.5438035047,1704098.190801805
2027,370000.0,5,391415.03125,383635.4923484628,387525.2617992314,388097.6726202921,387868.70829186786
2028,579000.0,4,525586.375,504463.40786574397,515024.891432872,505216.8484815121,509140.0656620561
2029,265000.0,1,271579.375,257983.8992018821,264781.63710094104,237550.1920640686,248442.77007881756
2030,300000.0,2,437487.125,460446.194208335,448966.6596041675,382013.9356027983,408795.025203346
2031,470000.0,3,504542.1875,504113.1818630452,504327.6846815226,514148.52024051285,510220.18601691676
2032,900000.0,2,583557.125,591202.9422832249,587380.0336416124,547611.611359966,563518.9802726245
2033,814000.0,1,578300.625,578028.7340753068,613965.2756763573,602512.2365834275,607093.4522205994
2034,298500.0,5,386708.8125,395640.7023548742,443922.33019920596,424525.51828652085,432284.2430515949
2035,700000.0,3,608925.75,583376.3305413256,596151.0402706629,578206.3169001803,585384.2062483733
2036,1100000.0,4,1463020.5,1508815.2314495284,1485917.8657247643,1658513.2822551238,1589475.11564298
2037,700000.0,4,686758.375,684982.1701046735,685870.2725523368,744816.735674732,721238.1504257739
2038,635000.0,4,613464.0625,610958.8057350119,613048.0038822542,586272.5495635334,596982.7312910217
2039,160000.0,4,196619.484375,202900.479823066,199759.98209903302,182074.7531340901,189148.84472006728
2040,480000.0,4,415992.5625,422584.65619767335,439002.02654418565,442213.16269164,440928.7082326583
2041,350000.0,3,227354.578125,218507.03165946793,222930.80489223398,233990.5204051837,229566.6342000038
2042,950000.0,5,1191132.125,1155747.1065262137,1106407.7310341748,1034318.89935727,1063154.432028032
2043,440000.0,1,359438.5,353112.12003244,356275.31001621997,358957.03806594585,357884.3468460555
2044,790000.0,2,765345.75,757376.4136451985,772952.7572758194,757339.8907387855,763585.0373535991
2045,860000.0,1,780761.6875,760627.4478140291,770694.5676570146,859930.534172948,824236.1475665746
2046,370000.0,4,363905.5,363784.07891152654,370641.3526190343,358987.13287162164,363648.8207705867
2047,460000.0,5,427860.4375,429033.5539272919,401912.89699955215,402529.9235866553,402283.112951814
2048,300000.0,2,315789.15625,319354.7202709805,317571.93826049025,285433.34612701094,298288.7829804027
2049,1200000.0,3,1096404.875,1112291.948818351,1133043.8883364229,1070132.2608508016,1095296.9118450503
2050,169000.0,4,178689.65625,184293.717784145,181491.68701707252,158651.79151400347,167787.74971523107
2051,1600000.0,1,1150686.0,1221031.6516317576,1185858.8258158788,1090346.7851455896,1128551.6014137054
2052,330000.0,2,390933.78125,431823.5986057161,411378.68992785807,373853.0824057006,388863.32541456353
2053,530000.0,4,263580.4375,267852.92950866645,265716.68350433325,302418.07804576773,287737.52022919396
2054,1200000.0,4,1277027.125,1222329.1190610253,1249678.1220305127,1348938.911267795,1309234.595572882
2055,450000.0,5,412151.875,413069.4163919092,412610.64569595456,422768.94476709294,418705.6251386376
2056,435000.0,2,411175.5,406288.03770671744,421112.23819735105,440945.3434969132,433012.10137708834
2057,320000.0,3,300425.65625,317765.4718693805,309095.5640596902,298370.05340486945,302660.2576667977
2058,450000.0,2,371740.3125,379652.6276118213,375696.47005591064,397999.83004617016,389078.48605006636
2059,580000.0,3,856359.0625,862173.7983659714,859266.4304329858,750038.9824553634,793729.9616464123
2060,420000.0,5,348628.0,355507.29379804566,352416.052829316,349351.35912436486,350577.2366063453
2061,1750000.0,1,1580388.5,1671374.6466977235,1625881.5733488617,1474644.766946796,1535139.4895076223
2062,390000.0,4,323147.21875,317888.6923823456,335179.888396321,302768.9121909488,315733.30267309764
2063,220000.0,2,241096.046875,221807.54063790213,231451.79375645105,238539.96047733087,235704.69378897894
2064,900000.0,5,872600.6875,899913.3046273363,897879.8972445676,951848.3306352326,930260.9572789667
2065,200000.0,3,285036.0,263255.5561146113,274145.7780573056,241999.856584734,254858.22517376265
2066,314000.0,5,261711.359375,279723.6295173391,270717.4944461696,249458.9600959881,257962.3738360607
2067,700000.0,2,669031.25,614367.5938897736,641699.4219448868,750997.8240253238,707278.4631931491
2068,607000.0,5,572885.5,555298.8380761462,559864.5183266512,554318.4283196733,556536.8643224644
2069,225000.0,1,249300.265625,251073.4465711009,250186.85609805046,234092.96904473755,240530.52386606272
2070,395000.0,1,393991.65625,401258.7072224037,383337.62721534126,386607.90122313687,385299.79162001866
2071,1000000.0,4,925828.4375,925724.4744597682,862543.5191859188,883914.6162325202,875366.1774138797
2072,1400000.0,3,1060632.875,1131771.164765261,1096202.0198826306,1185354.7521836665,1149693.659263252
2073,1200000.0,1,1316327.25,1308130.031330663,1293560.048465732,1218612.0958097135,1248591.2768721208
2074,220000.0,5,230357.9375,228463.02350548652,229410.48050274327,232811.42447861537,231451.04688826654
2075,350000.0,2,350902.875,341062.8366903804,353052.99909163313,325446.3309284063,336488.9981936971
2076,550000.0,2,550269.5625,564327.7003984344,557298.6314492172,520152.1345521717,535010.7333109898
2077,270000.0,5,287872.71875,282907.759586588,280773.16741780576,258003.10875326456,267111.13221908105
2078,380000.0,3,398461.84375,405990.88697118394,416558.45575241436,419073.7140915584,418067.6107559008
2079,1100000.0,1,845460.0625,854256.3317357602,962400.7379825161,945035.2915973713,951981.4701514293
2080,750000.0,1,711675.0,733035.7148448804,722355.3574224402,726479.5523924382,724829.874404439
2081,450000.0,4,374669.125,380499.30852048396,377584.216760242,410853.27704696666,397545.65293227683
2082,1350000.0,2,1108904.75,1149934.9941209226,1165593.910442323,1221193.8253962805,1198953.8594146976
2083,220000.0,4,239310.171875,245491.34372192645,242400.75779846322,221724.0999733149,229994.76310337422
2084,470000.0,1,347319.5,343312.121681355,346271.06758847425,341105.7448781801,343171.87396229774
2085,1003680.0,3,874712.0,876758.969254966,914118.8392392381,907026.9221487656,909863.6889849547
2086,460000.0,3,392365.8125,396944.42783892044,395958.5841186221,385118.211525678,389454.36056285567
2087,820000.0,3,629291.3125,645594.626095333,637442.9692976666,590559.8912818613,609313.1224881834
2088,175000.0,2,312002.0625,299950.67577348853,305976.3691367443,296438.033525088,300253.36776975053
2089,350000.0,4,396413.96875,389203.4207231888,392808.6947365944,359333.177277193,372723.3842609535
2090,520000.0,1,553929.4375,548752.2104402586,532938.5767790905,511634.60418119497,520156.19322035316
2091,450000.0,3,376806.9375,386920.1302128124,399304.47369948437,397544.81319031806,398248.6773939846
