estrategia,rmspe_medio,desvio_rmspe,ganho_medio_pp,ganho_minimo_pp,folds_melhores_total
utilidade_gate_faixa,0.21030710346146864,0.0003427741963602269,0.17511406839896734,0.137113102846656,14
faixa_pura,0.21050940365877735,0.0003779264616064512,0.154884048668096,0.1207488526582867,14
preco_puro,0.21053478375443632,0.00021287307490932848,0.15234603910219965,0.1278108528675298,14
continuo_q99_gate_faixa,0.2105991954075268,0.0004941653466266865,0.1459048737931475,0.0946631261551256,14
continuo_q95_gate_faixa,0.21061901314065623,0.0004788390922315589,0.14392310048020515,0.0936382013839776,14
continuo_q99_gate_faixa_preco,0.21072950071563742,0.000329402762789607,0.13287434298208575,0.0970775375038646,11
utilidade_gate_faixa_preco,0.21080081188723812,0.00028127324756050076,0.125743225822017,0.0933433071435618,11
continuo_q99_gate_preco,0.21086430689788624,0.000523764454983437,0.11939372475720983,0.0852361527004214,12
continuo_q95_gate_preco,0.21087011524922908,0.0005708403028271917,0.11881288962292401,0.07473710408768541,12
continuo_q99_livre,0.21123786268746333,0.0005514712367812638,0.08203814579950026,0.0264230304543811,13
