estrategia,fold,intercepto,inclinacao,rmspe_treino,gamma,centro_preco,largura_preco,centro_score,escala_score,intensidade
continuo_q99_livre,1,-0.4,1.5,0.21047996704074923,,,,,,
continuo_q99_gate_faixa,1,-0.10000000000000009,1.25,0.20985427053096078,6.0,,,,,
continuo_q99_gate_preco,1,-0.4,1.75,0.21041949080444708,,850000.0,250000.0,,,
continuo_q99_gate_faixa_preco,1,0.09999999999999987,1.25,0.21004262566812734,6.0,1000000.0,300000.0,,,
continuo_q95_gate_faixa,1,-0.10000000000000009,1.25,0.20991904903807956,6.0,,,,,
continuo_q95_gate_preco,1,-0.4,1.75,0.2104926193671972,,850000.0,250000.0,,,
utilidade_gate_faixa,1,,,0.2098441239055954,6.0,,,0.4891700675749132,0.21162058983322346,
utilidade_gate_faixa_preco,1,,,0.21001770789615798,6.0,1000000.0,300000.0,0.26521452562660797,0.21162058983322346,
faixa_pura,1,,,0.21010784074228017,6.0,,,,,0.5
preco_puro,1,,,0.2105629738063948,,1400000.0,50000.0,,,0.75
continuo_q99_livre,2,-0.10000000000000009,0.5,0.20963443572830245,,,,,,
continuo_q99_gate_faixa,2,0.09999999999999987,0.5,0.20929969171004864,4.0,,,,,
continuo_q99_gate_preco,2,0.09999999999999987,2.0,0.20881567206650656,,1400000.0,50000.0,,,
continuo_q99_gate_faixa_preco,2,0.09999999999999987,2.0,0.2090262706239658,1.0,1400000.0,100000.0,,,
continuo_q95_gate_faixa,2,0.09999999999999987,0.5,0.20929649226298183,4.0,,,,,
continuo_q95_gate_preco,2,0.09999999999999987,2.0,0.2088354291125334,,1400000.0,50000.0,,,
utilidade_gate_faixa,2,,,0.2104067285427324,6.0,,,0.4511534512148933,0.19387652753343837,
utilidade_gate_faixa_preco,2,,,0.20898796622755494,1.0,1400000.0,100000.0,0.00034403703956972895,0.019387652753343837,
faixa_pura,2,,,0.2092779213541467,3.0,,,,,0.25
preco_puro,2,,,0.2086914808945895,,1400000.0,50000.0,,,0.75
continuo_q99_livre,3,-0.30000000000000004,1.25,0.21134941229400098,,,,,,
continuo_q99_gate_faixa,3,0.09999999999999987,0.5,0.21117351421087643,3.0,,,,,
continuo_q99_gate_preco,3,-0.10000000000000009,2.0,0.21084564203341633,,1400000.0,50000.0,,,
continuo_q99_gate_faixa_preco,3,0.09999999999999987,2.0,0.21085736643844927,2.0,1400000.0,300000.0,,,
continuo_q95_gate_faixa,3,0.09999999999999987,0.5,0.21116266538114697,3.0,,,,,
continuo_q95_gate_preco,3,-0.10000000000000009,2.0,0.21084658223591965,,1400000.0,50000.0,,,
utilidade_gate_faixa,3,,,0.21148469444210338,6.0,,,0.499252191500918,0.20787455040627245,
utilidade_gate_faixa_preco,3,,,0.21083113323876493,2.0,1400000.0,300000.0,0.07489721688806898,0.05196863760156811,
faixa_pura,3,,,0.21120890491394576,6.0,,,,,0.5
preco_puro,3,,,0.2109319975128373,,1400000.0,50000.0,,,1.0
continuo_q99_livre,4,-0.4,1.5,0.21254259258592187,,,,,,
continuo_q99_gate_faixa,4,0.09999999999999987,1.0,0.21149404093122146,6.0,,,,,
continuo_q99_gate_preco,4,-1.1102230246251565e-16,2.0,0.21184509119040282,,1300000.0,150000.0,,,
continuo_q99_gate_faixa_preco,4,0.09999999999999987,2.0,0.21138124742652606,6.0,1100000.0,300000.0,,,
continuo_q95_gate_faixa,4,0.09999999999999987,1.0,0.21152357513180234,6.0,,,,,
continuo_q95_gate_preco,4,-1.1102230246251565e-16,2.0,0.21182856359868102,,1300000.0,150000.0,,,
utilidade_gate_faixa,4,,,0.21142126169522327,6.0,,,0.5218835184783939,0.21524342428627694,
utilidade_gate_faixa_preco,4,,,0.21136914214747965,6.0,1100000.0,300000.0,0.0003002063792568078,0.021524342428627694,
faixa_pura,4,,,0.21159004748157328,6.0,,,,,0.5
preco_puro,4,,,0.21190210033561993,,1400000.0,50000.0,,,1.0
continuo_q99_livre,5,-0.20000000000000007,1.0,0.2095969583392549,,,,,,
continuo_q99_gate_faixa,5,0.09999999999999987,0.75,0.2094228331865657,6.0,,,,,
continuo_q99_gate_preco,5,0.09999999999999987,1.75,0.20894416355428294,,1400000.0,50000.0,,,
continuo_q99_gate_faixa_preco,5,0.09999999999999987,1.75,0.20919563515111056,6.0,1400000.0,100000.0,,,
continuo_q95_gate_faixa,5,0.09999999999999987,0.75,0.20941198124073798,6.0,,,,,
continuo_q95_gate_preco,5,0.09999999999999987,1.75,0.20892401501184066,,1400000.0,50000.0,,,
utilidade_gate_faixa,5,,,0.2097356662925052,6.0,,,0.5051195145959221,0.20966116268968288,
utilidade_gate_faixa_preco,5,,,0.2092208904609015,6.0,1400000.0,100000.0,0.00037051684273556996,0.02096611626896829,
faixa_pura,5,,,0.2095173298766679,6.0,,,,,0.5
preco_puro,5,,,0.20897132699297116,,1400000.0,50000.0,,,1.0
