variante,fold,intercepto,inclinacao,rmspe
alvo_exato,1,0.10000000000000009,0.45,0.21324713642777077
alvo_exato,2,0.050000000000000044,0.55,0.21124685358405673
alvo_exato,3,0.10000000000000009,0.35000000000000003,0.21399010756425216
alvo_exato,4,0.10000000000000009,0.45,0.21519526746244683
alvo_exato,5,0.025000000000000022,0.45,0.21203500399755143
alvo_projetado_01,1,-0.45,1.5,0.21293575267914341
alvo_projetado_01,2,-0.45,1.5,0.21080851884841076
alvo_projetado_01,3,-0.45,1.5,0.21348421999918027
alvo_projetado_01,4,-0.425,1.5,0.21475289598310682
alvo_projetado_01,5,-0.375,1.25,0.21174479654895573
