Id,generalista,especialista,catboost_global,blend_arvores,score_juiz,peso_juiz,previsao_lambda_0.40,previsao_lambda_0.70,previsao_lambda_1.00
0,1257048.47,942378.0320873155,1146428.4340203337,1422978.54,0.03508038204227755,0.00657715072092173,1256220.6160409718,1255599.7255717008,1254978.8351024298
1,238203.05,211550.12819100433,228712.5305938642,252438.83,0.48513569496145664,0.3368136800820197,234612.22252822953,231919.10192440168,229225.98132057383
2,604884.0,539079.1507426664,616581.8166487849,587337.26,0.4416211741927887,0.25027415727093905,598296.2987231119,593355.5227654458,588414.7468077797
3,203276.36,192807.95349475526,202798.00692793733,203993.88,0.49391741448588267,0.3559832352939221,201785.72911355642,200667.7559487237,199549.78278389102
4,294458.84,266586.44668309775,292876.94781947904,296831.67,0.37228978351591846,0.14607344614341597,292830.27338237414,291608.84841915476,290387.4234559354
5,228121.16,196578.55520783697,234783.24131782868,218128.03,0.5147954516143823,0.4033544614636469,223032.0198523586,219215.1647416275,215398.30963089643
6,736230.99,679603.6284510464,734357.3674011189,739041.41,0.3470080508501762,0.11820538042713823,733553.5264742083,731545.4288298646,729537.3311855209
7,279378.25,263450.95256071026,265430.93012101424,300299.24,0.4418392847851754,0.25066902347751396,277781.25796170294,276583.51393298013,275385.7699042573
8,324746.12,302505.78554989793,328951.1574502642,318438.56,0.44124977838912366,0.24960273851313758,322525.62064632255,320860.2461310645,319194.8716158064
9,777522.31,708632.7095171508,756388.9165220906,809222.39,0.23968560511814638,0.045456363188743416,776269.7217202097,775330.280510367,774390.8393005242
10,612557.7,603911.4326158445,630218.4671614072,586066.55,0.46454274526807793,0.29398441848547135,611540.9528443996,610778.3924776993,610015.8321109992
11,536856.11,467603.7195420204,552543.5829142291,513324.91,0.4180047546492122,0.2100056415239658,531038.7529259215,526675.7351203627,522312.7173148038
12,1055273.78,917986.7364853384,1054052.7883008437,1057105.27,0.29385690821669463,0.07432408184166818,1051192.2866168062,1048131.166579411,1045070.0465420156
13,350220.24,323709.56854056375,357118.8729518428,339872.3,0.409266714025743,0.19636734455029528,348137.9079373061,346576.15889028565,345014.4098432652
14,762724.46,724574.5449933524,771878.0553687252,748994.07,0.5308767521783181,0.4411662354663141,755992.2782452629,750943.1419292102,745894.0056131574
15,576220.05,501680.71346895857,574223.5183129946,579214.84,0.23038669358081468,0.041720257078475556,574976.1298869865,574043.1898022263,573110.249717466
