Id,preco,fold,base,xgb_raw,lgb_raw,cat_raw,media_arvores_raw,media_tres_raw
2000,1000000.0,2,1127722.002130628,1158449.5306015015,1098029.67110155,1025604.4936215907,1128239.6008515258,1094027.8984415473
2001,680000.0,4,948436.2522263356,898753.8814544678,937807.3047056736,991788.53367468,918280.5930800707,942783.2399449404
2002,450000.0,4,344652.0247747627,373913.6755466461,349752.2395496648,280592.7627786738,361832.95754815545,334752.8926249949
2003,1080000.0,5,971359.8084704684,1004686.5911483765,998226.7152305155,971692.6868728508,1001456.653189446,991535.3310839143
2004,350000.0,5,356691.4190880974,361250.5393028259,359981.72355061385,358808.08433471795,360616.1314267199,360013.44906271924
2005,490000.0,5,357285.3625369427,413088.8879299164,421639.4771896201,386000.2146297008,417364.1825597682,406909.5265830791
2006,680000.0,2,682672.8890089302,725372.9104995728,738343.9545164573,613595.7182377254,731858.4325080151,692437.5277512519
2007,390000.0,2,405862.00361521,415398.07176589966,419307.8938425187,406772.9200142297,417352.98280420917,413826.29520754935
2008,1350000.0,1,1129537.6879021756,1191158.6451530457,1160868.0330001423,1174505.8674098165,1176013.339076594,1175510.8485210014
2009,400000.0,5,351384.98160745844,355620.37682533264,356258.58027987904,349426.674216153,355939.47855260584,353768.5437737882
2010,980000.0,4,763517.5786054413,788190.1860237122,797988.0384541696,772006.6632424729,793089.1122389409,786061.6292401183
2011,1200000.0,4,1141843.3626469222,1214171.0019111633,1188622.3471074556,1120486.6548372498,1201396.6745093095,1174426.6679519562
2012,215000.0,1,254462.2309935422,268776.38697624207,271816.0117534041,263079.26179641497,270296.19936482306,267890.553508687
2013,750000.0,4,527452.6744126636,606791.7346954346,616415.7536324442,575465.2613580017,611603.7441639394,599557.5832286269
2014,580000.0,2,513720.74346623896,538626.8898248672,527129.0737029026,534839.212092631,532877.9817638849,533531.7252068003
2015,1500000.0,4,2117118.094729572,1780819.7736740112,2254434.185463293,1971766.4355074575,2017626.979568652,2002340.1315482538
2016,300000.0,5,301371.81473129266,308673.30775260925,313500.4745385718,303139.88149287144,311086.8911455905,308437.8879280175
2017,420000.0,1,362169.8605373268,369644.04582977295,352643.66434890777,396566.8198196877,361143.85508934036,372951.5099994561
2018,560000.0,3,532479.5062037493,541810.3868961334,533079.4356638257,550469.0644887462,537444.9112799796,541786.2956829019
2019,489000.0,1,518485.6814773125,522114.5975589752,515283.91908882884,531468.5373499319,518699.25832390203,522955.684665912
2020,1300000.0,4,1310065.7202438372,1401161.4322662354,1391383.785984408,1341024.431633837,1396272.6091253217,1377856.5499614936
2021,380000.0,4,407045.6889078568,410697.6092338562,413981.30019560386,416613.9250597922,412339.45471473003,413764.27816308406
2022,690000.0,3,969565.8961146802,1004004.955291748,1014873.885292104,954350.1569814609,1009439.420291926,991076.332521771
2023,700000.0,1,738058.3957523099,609424.352645874,637669.1907342767,756405.1120412267,623546.7716900753,667832.885140459
2024,400000.0,4,353148.3974388833,397567.7788257599,387288.96996696177,376811.2042640588,392428.3743963608,387222.6510189268
2025,690000.0,2,753574.2828426919,768749.1109371185,778439.2821913162,764117.9623177698,773594.1965642173,770435.4518154016
2026,2200000.0,1,1664893.7612170908,1775146.460533142,1750437.424571273,1801608.788637114,1762791.9425522075,1775730.8912471763
2027,370000.0,5,382821.3826354242,381434.0829849243,381054.61529152165,382811.65812959743,381244.349138223,381766.7854686811
2028,579000.0,4,498557.8127217558,524591.4459228516,506979.3051457989,522645.87268862384,515785.37553432526,518072.20791909145
2029,265000.0,1,238103.3418821956,269980.66902160645,278607.470643808,245904.92420734995,274294.06983270723,264831.02129092143
2030,300000.0,2,392142.1928282797,443114.7873401642,466267.2859528264,373126.8104119279,454691.0366464953,427502.9612349728
2031,470000.0,3,491458.0572070885,539151.6089439392,516793.8467493166,524617.2265441694,527972.7278466279,526854.2274124752
2032,900000.0,2,544607.4516354381,598112.940788269,601539.4806825753,582021.7120408526,599826.2107354221,593891.3778372323
2033,814000.0,1,598215.6809474294,615816.6735172272,618029.0796038909,605224.3779190182,616922.876560559,613023.3770133788
2034,298500.0,5,435972.4347050405,431471.40691280365,431435.6948367695,423573.82700479194,431453.55087478657,428826.976251455
2035,700000.0,3,581681.0666420467,603481.7099571228,586144.0709886899,578343.162183492,594812.8904729064,589322.9810431016
2036,1100000.0,4,1469847.122349592,1792037.844657898,1569693.2033343913,1806819.5581716725,1680865.5239961445,1722850.202054654
2037,700000.0,4,703550.299116554,693459.6300125122,707492.8142453744,708794.767260127,700476.2221289433,703249.0705060046
2038,635000.0,4,599756.7380525314,615628.0250549316,610940.3738846553,581420.8989999575,613284.1994697935,602663.0993131815
2039,160000.0,4,182265.72734600227,198559.0010881424,197394.23296670598,185242.07793429802,197976.6170274242,193731.7706630488
2040,480000.0,4,408453.9354565949,439653.51152420044,440739.25167953817,454293.3327758373,440196.3816018693,444895.36532652535
