alpha,modelo,faixa_preco,quantidade,rmspe
0.0,xgboost,"(89999.999, 355000.0]",1178,0.27396204500493204
0.0,lightgbm,"(89999.999, 355000.0]",1178,0.2745832277377026
0.0,blend_50,"(89999.999, 355000.0]",1178,0.2733862900746287
0.0,xgboost,"(355000.0, 511000.0]",1161,0.17844352068567004
0.0,lightgbm,"(355000.0, 511000.0]",1161,0.17840529304683853
0.0,blend_50,"(355000.0, 511000.0]",1161,0.177623559513318
0.0,xgboost,"(511000.0, 830000.0]",1176,0.23855666306158252
0.0,lightgbm,"(511000.0, 830000.0]",1176,0.23964781488870837
0.0,blend_50,"(511000.0, 830000.0]",1176,0.23788852413126146
0.0,xgboost,"(830000.0, 7100000.0]",1163,0.22755054014382434
0.0,lightgbm,"(830000.0, 7100000.0]",1163,0.22845411097487753
0.0,blend_50,"(830000.0, 7100000.0]",1163,0.22617358412788474
0.25,xgboost,"(89999.999, 355000.0]",1178,0.26533317291197644
0.25,lightgbm,"(89999.999, 355000.0]",1178,0.2647648058935334
0.25,blend_50,"(89999.999, 355000.0]",1178,0.264068136808917
0.25,xgboost,"(355000.0, 511000.0]",1161,0.17398476962696938
0.25,lightgbm,"(355000.0, 511000.0]",1161,0.17782458097835524
0.25,blend_50,"(355000.0, 511000.0]",1161,0.1752003681867533
0.25,xgboost,"(511000.0, 830000.0]",1176,0.23898897717213907
0.25,lightgbm,"(511000.0, 830000.0]",1176,0.23546732112310204
0.25,blend_50,"(511000.0, 830000.0]",1176,0.23623671548557637
0.25,xgboost,"(830000.0, 7100000.0]",1163,0.22653232369949014
0.25,lightgbm,"(830000.0, 7100000.0]",1163,0.22813667992777642
0.25,blend_50,"(830000.0, 7100000.0]",1163,0.22575038181387727
0.5,xgboost,"(89999.999, 355000.0]",1178,0.2593761461530829
0.5,lightgbm,"(89999.999, 355000.0]",1178,0.2576964938434621
0.5,blend_50,"(89999.999, 355000.0]",1178,0.25758698857313883
0.5,xgboost,"(355000.0, 511000.0]",1161,0.17300692382104188
0.5,lightgbm,"(355000.0, 511000.0]",1161,0.17542648657102375
0.5,blend_50,"(355000.0, 511000.0]",1161,0.17333453335921903
0.5,xgboost,"(511000.0, 830000.0]",1176,0.23138895844959495
0.5,lightgbm,"(511000.0, 830000.0]",1176,0.2326919665744782
0.5,blend_50,"(511000.0, 830000.0]",1176,0.2309249411478076
0.5,xgboost,"(830000.0, 7100000.0]",1163,0.2237883840773323
0.5,lightgbm,"(830000.0, 7100000.0]",1163,0.22397787520077764
0.5,blend_50,"(830000.0, 7100000.0]",1163,0.22235891278431702
0.75,xgboost,"(89999.999, 355000.0]",1178,0.25390088317485315
0.75,lightgbm,"(89999.999, 355000.0]",1178,0.24837079257876746
0.75,blend_50,"(89999.999, 355000.0]",1178,0.2501181995342145
0.75,xgboost,"(355000.0, 511000.0]",1161,0.16967729061266518
0.75,lightgbm,"(355000.0, 511000.0]",1161,0.1730873803253941
0.75,blend_50,"(355000.0, 511000.0]",1161,0.17056189148765588
0.75,xgboost,"(511000.0, 830000.0]",1176,0.2243369096857792
